Gemeinde_Name;E;N;Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Hšhe
Val-de-Ruz;2563196;1213455;Dombresson, Bas des Crêts;TRN;Haltestelle;Bus;737
Agno;2713017;1095121;Agno, Chiesa;PAG;Haltestelle;Bus;297
Fétigny;2560512;1183724;Fétigny, Les Sapelettes;PAG;Haltestelle;Bus;462
Val-d'Illiez;2554743;1116488;Champoussin En l'Au;TCP;Haltestelle;Sesselbahn;1773
Locarno;2705161;1113212;Locarno, Residenza Lido;FART;Haltestelle;Bus;197
Thunstetten;2623313;1229477;Bützberg, Käserei;asm;Haltestelle;Bus;477
Zürich;2681709;1248758;Zürich Viadukt (Abzw);SBB CFF FFS;Verzweigung, Abzweigung, Spaltweiche;;416
Engelberg;2673920;1187450;Ristis (Talst. Brunni);EB;Zugeordneter Betriebspunkt;;1596
Sainte-Croix;2527669;1187579;La Vraconnaz, Noirvaux-Dessus;PAG;Haltestelle;Bus;1028
Triesenberg;2764849;1218937;Malbun, Zentrum;VLM;Haltestelle;Bus;1605
Samnaun;2823129;1207212;Alp Trida (Visnitz);LS;Zugeordneter Betriebspunkt;;2283
Neuchâtel;2560768;1204835;Neuchâtel, Collège des Parcs;TRN;Haltestelle;Bus;498
La Grande-Béroche;2547135;1194254;Montalchez, centre du village;PAG;Haltestelle;Bus;659
Anniviers;2612096;1118889;St-Luc, Bella Tola;PAG;Haltestelle;Bus;1646
Luzern;2666195;1210431;Luzern Brünig-Einfahrt (Abzw);zb;Verzweigung, Abzweigung, Spaltweiche;;437
Evolène;2604083;1107134;Evolène, Les Flantzes;PAG;Haltestelle;Bus;1394
Zernez;2808209;1173337;Ova Spin;PAG;Haltestelle;Bus;1886
Gletterens;2561281;1194939;Gletterens, lac;TPF;Haltestelle;Bus;430
Frauenfeld;2709799;1268221;Frauenfeld, Rathaus;SBF;Haltestelle;Bus;415
Jongny;2554981;1148853;Jongny, Chaudette;VMCV;Haltestelle;Bus;753
Altnau;2737366;1276091;Altnau, Bahnhof;PAG;Haltestelle;Bus;409
Flims;2739264;1193514;Fil de Cassons;BFL;Haltestelle ausser Betrieb;;2636
