Gemeinde_Name;E;N;Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Hšhe
Orvin;2584774;1223670;Orvin, Petit-Moulin;VB TPB;Haltestelle;Bus;594
Hölstein;2624834;1252535;Hölstein, Süd;AAGL;Haltestelle;Bus;488
Zermatt;2624713;1094452;Riffelboden;GGB;Dienststation;;2358
Richterswil;2694614;1228236;Grüenfeld;SOB;Haltestelle;Zug;592
Saint-Maurice;2566599;1118546;St-Maurice VS, Terreaux;PAG;Haltestelle;Bus;410
Buchs (SG);2754187;1225357;Buchs SG, Sekundarschule;BOS;Haltestelle;Bus;449
Basel;2612722;1268398;Basel, Badischer Bf (Vzw Ost);BVB;Verzweigung, Abzweigung, Spaltweiche;;256
Marly;2577896;1180821;Marly, Innovation Center;TPF;Haltestelle;Bus;594
Goms;2658887;1143990;Blitzingen;MGB;Haltestelle;Zug;1267
Frenkendorf;2621133;1261228;Frenkendorf-Füllinsdorf;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;311
St. Gallen;2745680;1252604;Liebegg;AB;Ausweiche;;741
Stansstad;2671740;1205060;Obbürgen, Moos;PAG;Haltestelle;Bus;750
Schmitten (FR);2584312;1188387;Berg FR, Restaurant;TPF;Haltestelle;Bus;653
Buttisholz;2651128;1219734;Buttisholz, Gattwil;ARAG;Haltestelle;Bus;610
Oberrieden;2686605;1236455;Oberrieden, Seehalde;SZU;Haltestelle;Bus;424
Bourg-en-Lavaux;2544505;1149540;Grandvaux, Le Bougnon;PAG;Haltestelle;Bus;505
Arosa;2767410;1182904;Plattenhorn;ABB;Haltestelle;Sesselbahn;2310
Blumenstein;2606301;1176607;Blumenstein, Gemeindehaus;STI;Haltestelle;Bus;670
Pratteln;2618994;1263578;Pratteln;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;290
Rümlang;2682822;1256299;Rümlang, Hofwisenunterführung;VBG;Haltestelle;Bus;420
Echichens;2526980;1155414;St-Saphorin-sur-Morges, village;MBC;Haltestelle;Bus;529
Uerkheim;2644372;1239691;Uerkheim, Schweizermatten;AVA;Haltestelle;Bus;459
Beurnevésin;2577466;1260141;Beurnevésin, Couronne;PAG;Haltestelle;Bus;430
Begnins;2508486;1143915;Begnins, poste;PAG;Haltestelle;Bus;538
Basel;2613257;1267212;Basel, Breite;BVB;Haltestelle;Bus / Tram;261
Oberglatt;2681246;1258758;Oberglatt ZH, Rietli;PAG;Haltestelle;Bus;430
Saint-Imier;2566231;1222524;St-Imier (funiculaire);SMtS;Haltestelle;Standseilbahn;793
Wollerau;2696989;1227590;Wollerau, Sonnenberg;PAG;Haltestelle;Bus;539
Arth;2683600;1212080;Oberarth, Bifang;AAGS;Haltestelle;Bus;448
Tévenon;2538900;1191920;La Combaz VD (Romairon);PAG;Haltestelle;Bus;1223
Churwalden;2762402;1180495;Parpan Obertor;LHB;Haltestelle;Sesselbahn;1548
Lauerz;2687193;1209633;Lauerz, Mühle;AAGS;Haltestelle;Bus;460
Bernex;2493237;1113488;Bernex, Sézenove-village;TPG;Haltestelle;Bus;488
Gambarogno;2708377;1111337;Vira NLM;NLM;Haltestelle;Schiff;194
Henniez;2557537;1176953;Henniez, village;PAG;Haltestelle;Bus;483
Bever;2787859;1158335;Bever;RhB FR VR;Haltestelle und Bedienpunkt;Zug;1710
Altstätten;2758250;1247950;Hinterforst, Widenbach/Bächis;BOS;Haltestelle;Bus;452
Niederhasli;2680074;1258023;Oberhasli, Post;VBG;Haltestelle;Bus;438
Seedorf (UR);2689579;1192884;Seedorf UR, Dorf;AAGU;Haltestelle;Bus;376
Derendingen;2610767;1227647;Derendingen, Kreuzplatz;BSU;Haltestelle;Bus;437
Glarus Süd;2724051;1207436;Schwändi b. Schwanden, Güetli;AS;Haltestelle;Bus;706
Poschiavo;2799438;1139226;Alp Grüm;RhB FR VR;Haltestelle und Bedienpunkt;Zug;2091
Egnach;2746369;1267732;Egnach;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;401
Brunegg;2658692;1252249;Brunegg, Zentrum;RBL;Haltestelle;Bus;426
Cugy (FR);2558085;1185120;Cugy FR, gare;TPF;Haltestelle;Bus;469
Champtauroz;2549729;1178702;La Gaité (Champtauroz);PAG;Haltestelle;Bus;691
Niedergesteln;2626350;1129219;Niedergesteln, Weiderli;SBB CFF FFS;Haltestelle;Bus;644
Trimbach;2635834;1246522;Trimbach, Rankwog;BOGG;Haltestelle;Bus;397
Ennetbürgen;2671995;1205476;Bürgenstock, Waldhotel;PAG;Haltestelle;Bus;843
Arosa;2770001;1182801;Arosa, Kulm;AVB;Haltestelle;Bus;1830
Lugano;2718031;1097825;Lugano, Via Ciani/Cornaredo;TPL;Haltestelle;Bus;295
Langnau am Albis;2683134;1237259;Langnau am Albis, Unterrengg;SZU;Haltestelle;Bus;560
Echichens;2527867;1153189;Echichens, église;MBC;Haltestelle;Bus;468
Muntogna da Schons;2752044;1168494;Lohn GR, Dorf;PAG;Haltestelle;Bus;1594
Uerkheim;2643144;1239456;Uerkheim, Abzw. Neudorf;AVA;Haltestelle;Bus;459
Zofingen;2637513;1238006;Zofingen, Wässermattenweg;AVA;Haltestelle;Bus;432
Torricella-Taverne;2715463;1102615;Taverne, Paese;PAG;Haltestelle;Bus;344
Fraubrunnen;2604142;1217464;Limpach, Post;RBS;Haltestelle;Bus;473
Hermenches;2548255;1166297;Hermenches, Moille-Robert;PAG;Haltestelle;Bus;661
Ascona;2702930;1112435;Ascona, Centro;FART;Haltestelle;Bus;205
Mosnang;2719960;1248253;Dreien, Tüfi;PAG;Haltestelle;Bus;687
Sembrancher;2577295;1102847;Sembrancher [voie 1-2];TMR;Zugeordneter Betriebspunkt;;716
Schlossrued;2648741;1238303;Schlossrued, Längenthal;PAG;Haltestelle;Bus;502
Wassen;2688550;1172200;Wassen, Wattingen;AAGU;Haltestelle;Bus;915
Zurzach;2663098;1269828;Zurzacherberg, Passhöhe;PAG;Haltestelle;Bus;477
Beinwil (Freiamt);2667474;1231672;Brunnwil, Weiler;PAG;Haltestelle;Bus;708
Zug;2682000;1225900;Zug, Göbli;ZVB;Haltestelle;Bus;425
Wynigen;2617368;1217479;Wynigen, Grüttermatt;asm;Haltestelle;Bus;529
Murten;2580284;1199370;Büchslen, Eintracht;SVB;Haltestelle;Bus;515
Zürich;2684932;1251178;Zürich, Schörlistrasse;VBZ;Haltestelle;Tram;432
Luzern;2666053;1210975;Luzern, Bundesplatz;VBL;Haltestelle;Bus;436
Rüschegg;2595935;1182478;Mamishaus, Wyden;PAG;Haltestelle;Bus;868
Naters;2641822;1133221;Naters, Mehlbaum;PAG;Haltestelle;Bus;1143
Leytron;2579684;1116020;Morthey, Pont-de-Pierre;PAG;Haltestelle;Bus;1217
Lenzburg;2655249;1249188;Lenzburg;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;406
Riehen;2615478;1268713;Riehen, Rudolf Wackernagel-Strasse;BVB;Haltestelle;Bus;286
Embd;2629174;1118467;Schalb;SGES;Haltestelle;Kabinenbahn;1913
Lauterbrunnen;2637740;1160346;Allmend (Sesselbahn);WAB;Haltestelle;Sesselbahn;1500
Jussy;2508404;1119650;Jussy, L'Abbaye;TPG;Haltestelle;Bus;447
Samnaun;2824759;1205175;Samnaun-Laret, West;PAG;Haltestelle;Bus;1754
Le Chenit;2507497;1162342;Le Sentier-L'Orient, gare;AVJ;Haltestelle;Bus;1013
Glarus Nord;2729100;1220275;Filzbach, Reutegg;PAG;Haltestelle;Bus;707
Basel;2612000;1266395;Basel, Denkmal;BVB;Haltestelle;Tram;266
Widnau;2765829;1253241;Widnau, Girlen;BOS;Haltestelle;Bus;405
Noble-Contrée;2607777;1128037;Veyras, Pontet;SMC;Haltestelle;Bus;644
Luterbach;2610976;1229590;Luterbach-Attisholz;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;430
Delémont;2592464;1245701;Delémont, Jolimont;PAG;Haltestelle;Bus;418
Biberist;2609509;1226335;Biberist, Bromegg;BSU;Haltestelle;Bus;449
Frick;2644788;1261419;Frick, Bänihübel;PAG;Haltestelle;Bus;360
Wallisellen;2688013;1252183;Wallisellen, Zielacker;VBG;Haltestelle;Bus;455
Zürich;2682051;1249846;Zürich, Rosengartenstrasse;VBZ;Haltestelle;Bus;425
Sursee;2650084;1225251;Sursee, Münchrüti;PAG;Haltestelle;Bus;497
Sarnen;2660922;1193808;Sarnen, Kirchhofen;PAG;Haltestelle;Bus;488
Zuchwil;2608704;1227946;Zuchwil, Rainstrasse;BSU;Haltestelle;Bus;434
Acquarossa;2716214;1144398;Dongio, Piazza;ABl;Haltestelle;Bus;478
Langnau im Emmental;2628528;1197380;Bärau, Bahnübergang;BLAG;Haltestelle;Bus;700
Wattwil;2721650;1236200;Ricken SG, Kirche;BRER;Haltestelle;Bus;789
Wartau;2753700;1218025;Oberschan,Abzw. Rest. Aufstieg;BOS;Haltestelle;Bus;668
Hinwil;2707607;1239437;Wernetshausen, Letten;VZO;Haltestelle;Bus;565
Sierre;2603350;1123260;Granges VS, Crêtelongue;ASGS;Haltestelle;Bus;509
Faido;2706827;1147561;Tengia;PAG;Haltestelle;Bus;1088
Wil (SG);2720297;1259977;Bronschhofen, Würe;BOS;Haltestelle;Bus;563
Flums;2742761;1217433;Flumserberg, Brünsch;PAG;Haltestelle;Bus;852
Böttstein;2660949;1269310;Kleindöttingen, Zentrum;PAG;Haltestelle;Bus;320
Lutry;2542172;1151540;Lutry, Marionnettes;TL;Haltestelle;Bus;533
Leysin;2566693;1132078;Leysin-Village;TPC;Haltestelle;Zug;1269
Gibloux;2573199;1176712;Magnedens, bif. Bulle;TPF;Haltestelle;Bus;692
Gibloux;2570890;1176350;Posat, village;TPF;Haltestelle;Bus;678
Egg;2694612;1239692;Egg, Station;VBZ;Haltestelle;Bus;546
Bellinzona;2723194;1118637;Bellinzona, Scuola Media 2;PAG;Haltestelle;Bus;230
Lens;2601354;1127318;Crans-s.-S., Maroz;SMC;Haltestelle;Bus;1392
Baden;2665471;1259277;Baden, Langmatt;RVBW;Haltestelle;Bus;381
Vouvry;2558340;1131912;Vouvry;SBB CFF FFS;Haltestelle;Zug;381
Ried-Brig;2647538;1127261;Eisten, Ganterbrücke;PAG;Haltestelle;Bus;1480
Furna;2768279;1201842;Schwänzelegg (Cavadura);BGD;Haltestelle;Kabinenbahn;1765
Niederweningen;2669953;1262785;Niederweningen (Gleisende);SBB CFF FFS;Gleisende;;444
Saas-Grund;2639676;1109245;Trift;BHAG;Haltestelle;Kabinenbahn;2072
Courroux;2595257;1245653;Courroux, Les 3 Farine;PAG;Haltestelle;Bus;419
Weisslingen;2701256;1253613;Lendikon;VBG;Haltestelle;Bus;680
Aigle;2562291;1129451;Aigle, Golf;TPC;Haltestelle;Bus;388
Rothrist;2633264;1239567;Rothrist, Bahnhof;AVA;Haltestelle;Bus;407
Luzein;2781934;1205098;St. Antönien, Gafierstrasse;PAG;Haltestelle;Bus;1473
Bas-Intyamon;2573280;1157924;Enney, zone d'activités;TPF;Haltestelle;Bus;703
Düdingen;2582609;1187005;Düdingen, Angstorf;TPF;Haltestelle;Bus;654
Olten;2634745;1244467;Olten, Hammer BOGG;BOGG;Haltestelle;Bus;400
Vaz/Obervaz;2758869;1179658;Cumascheals;LHB;Haltestelle;Sesselbahn;2281
Versoix;2501011;1126502;Versoix, Saint-Loup;TPG;Haltestelle;Bus;424
Turbenthal;2708350;1251975;Turbenthal, Gosswil;PAG;Haltestelle;Bus;550
Genève;2498287;1117564;Jonction (Genève);SBB CFF FFS;Bedienpunkt;;396
Villnachern;2654759;1258513;Villnachern (Spw);SBB CFF FFS;Spurwechsel;;396
Arosa;2768846;1184926;Brüggerhorn;ABB;Haltestelle;Sesselbahn;2441
Ormont-Dessus;2580352;1134698;Isenau;TVGD;Haltestelle;Kabinenbahn;1766
Minusio;2708554;1114946;Tenero, Campeggio Tamaro;FART;Haltestelle;Bus;205
Ascona;2702424;1112641;Ascona, Casa Angolo;FART;Haltestelle;Bus;306
Poschiavo;2801867;1133355;Poschiavo, Scuole;PAG;Haltestelle;Bus;1010
Köniz;2601700;1196861;Wabern, Kleinwabern;PAG;Haltestelle;Bus;560
Zürich;2680440;1246556;Zürich Schweighof;SZU;Haltestelle;Zug;453
Churwalden;2760742;1183171;Churwalden, Post;PAG;Haltestelle;Bus;1230
Meilen;2691893;1236254;Meilen, Ormis;VZO;Haltestelle;Bus;470
Amriswil;2740620;1267675;Amriswil, Maihalde;AOT;Haltestelle;Bus;433
Seuzach;2697900;1265800;Seuzach, Bahnhof;PAG;Haltestelle;Bus;455
Pontresina;2789478;1151825;Pontresina (Sesselb. Languard);SPL;Haltestelle;Sesselbahn;1774
Schaffhausen;2691970;1285897;Herblingen;DICH;Haltestelle;Zug;455
Genève;2501197;1115885;Genève, Crêts-de-Champel;TPG;Haltestelle;Bus;422
Calanca;2729410;1132486;Cauco, Bodio;PAG;Haltestelle;Bus;951
Grindelwald;2645852;1164390;Grindelwald, Kreuzweg;GWB;Haltestelle;Bus;1144
Herbligen;2612898;1186203;Herbligen, Dorf;SVB;Haltestelle;Bus;575
Gossau (ZH);2703081;1237932;Ottikon (Gossau),Herschmettlen;VZO;Haltestelle;Bus;535
Châtillon (JU);2592736;1241885;Châtillon JU, haut du village;PAG;Haltestelle;Bus;525
Arbon;2749203;1265112;Arbon, Seemoosholz;AOT;Haltestelle;Bus;412
Mühleberg;2587692;1201309;Buttenried;PAG;Haltestelle;Bus;540
Frutigen;2614108;1152377;Elsigenalp;LEE;Haltestelle;Kabinenbahn;1802
Pfeffingen;2611376;1256548;Pfeffingen, Dorf;BLT;Haltestelle;Bus;394
Le Chenit;2506809;1161937;Le Sentier, hôpital;AVJ;Haltestelle;Bus;1024
Saanen;2586879;1148762;Saanen, Spitzhorn;PAG;Haltestelle;Bus;1028
Ebikon;2666988;1213558;Ebikon, St. Klemens;VBL;Haltestelle;Bus;445
Buchs (AG);2648783;1249761;Rohr (Spw);SBB CFF FFS;Spurwechsel;;384
Kreuzlingen;2731499;1278000;Kreuzlingen, Besmer;VSK;Haltestelle;Bus;437
Montricher;2518744;1161323;Montricher, Petit Faubourg;MBC;Haltestelle;Bus;716
Emmetten;2682778;1201386;Emmetten, Sagendorf;PAG;Haltestelle;Bus;721
Céligny;2504659;1133709;Céligny;SBB CFF FFS;Haltestelle ausser Betrieb;;391
Blenio;2711288;1153323;Campra, Bivio;ABl;Haltestelle;Bus;1412
Fraubrunnen;2606347;1215067;Fraubrunnen;RBS;Haltestelle und Bedienpunkt;Zug;496
Muri bei Bern;2604104;1197993;Gümligen, Seidenberg;RBS;Haltestelle;Tram;560
Buchholterberg;2618490;1185330;Heimenschwand, Bruchenbühl;STI;Haltestelle;Bus;906
Alpnach;2663358;1202497;Aemsigen;PB;Haltestelle;Zahnradbahn;1335
Russin;2489986;1116227;Russin, village;TPG;Haltestelle;Bus;417
Zürich;2687579;1245780;Zürich, Zweiackerstrasse;VBZ;Haltestelle;Bus;620
Hägendorf;2629626;1243712;Hägendorf, Gnöd;BOGG;Haltestelle;Bus;594
Le Locle;2547453;1212040;Le Locle, gare/centre ville;TRN;Haltestelle;Bus;920
Jonschwil;2723278;1255960;Schwarzenbach SG, Wilerstrasse;PAG;Haltestelle;Bus;563
Marly;2577615;1180945;Marly, Bel-Air;TPF;Haltestelle;Bus;622
Orsières;2578850;1096950;Commeire;TMR;Haltestelle;Bus;1456
Estavayer;2554688;1188401;Estavayer-le-Lac, gare;TPF;Haltestelle;Bus;463
Pfäfers;2756201;1205308;Pfäfers, Grosswies;PAG;Haltestelle;Bus;853
La Brévine;2536428;1201943;La Brévine, Ferme Baillod;PAG;Haltestelle;Bus;1110
Embrach;2687425;1261675;Embrach, Oberdorf;PAG;Haltestelle;Bus;430
Riddes;2583057;1113260;Riddes, rte Cantonale;PAG;Haltestelle;Bus;477
Finhaut;2562560;1101473;Giétroz;PAC;Haltestelle;Standseilbahn;1357
Muttenz;2614726;1264828;Muttenz, Lutzert;BLT;Haltestelle;Bus;281
Dielsdorf;2676277;1259246;Dielsdorf, Gesundheitszentrum;VBG;Haltestelle;Bus;480
Illnau-Effretikon;2694908;1253899;Effretikon, Müselacher;VBG;Haltestelle;Bus;511
Illnau-Effretikon;2696431;1254620;Ottikon b. Kemptthal;VBG;Haltestelle;Bus;578
Domleschg;2752505;1184439;Feldis/Veulden, Nurlagn;PAG;Haltestelle;Bus;1483
Riehen;2615001;1268875;Riehen, Bluttrainweg;BVB;Haltestelle;Bus;266
Lugano;2717575;1096650;Lugano, Corso Elvezia;TPL;Haltestelle;Bus;335
Oberbipp;2617430;1234577;Oberbipp Industrie;asm;Dienststation;;478
Arni (BE);2615414;1197774;Arni BE, Walke;PAG;Haltestelle;Bus;793
Saanen;2588362;1146754;Gstaad, Ober-Gstaad;PAG;Haltestelle;Bus;1055
Thal;2760477;1259417;Thal, alte Post;PAG;Haltestelle;Bus;419
Lenzburg;2656022;1249329;Lenzburg, Volg;RBL;Haltestelle;Bus;406
Saanen;2586605;1149207;Saanen, Crestalta;PAG;Haltestelle;Bus;1093
Vaz/Obervaz;2759214;1177865;Alp Nova;LHB;Haltestelle;Sesselbahn;1976
Saanen;2591399;1147129;Turbach, Fängli;PAG;Haltestelle;Bus;1306
Zürich;2681387;1242723;Zürich, Marbachweg;VBZ;Haltestelle;Bus;457
Seuzach;2697373;1266253;Seuzach, Im Räbhag;PAG;Haltestelle;Bus;450
Olten;2635487;1244275;Olten, Fachhochschule;BOGG;Haltestelle;Bus;398
Chur;2759459;1191269;Chur Arosabahn;RhB FR VR;Zugeordneter Betriebspunkt;;585
Andermatt;2688302;1165236;Andermatt (Gemsstockbahn);ASS;Haltestelle;Kabinenbahn;1440
Hasle (LU);2646478;1200011;Hasle LU, Heiligkreuz Kirche;PAG;Haltestelle;Bus;1127
Lignerolle;2523520;1176542;Lignerolle, Le Daillard;TRAVYS;Haltestelle;Bus;796
Schiers;2770657;1205011;Schiers, Quadara/Feld;PAG;Haltestelle;Bus;647
Bulle;2571703;1163536;Bulle, Chalamala;TPF;Haltestelle;Bus;751
Grenchen;2596530;1227143;Grenchen, Kirchstrasse;BGU;Haltestelle;Bus;472
Gsteig;2584374;1134911;Reusch;G3AG;Haltestelle;Kabinenbahn;1350
Seewis im Prättigau;2767497;1205550;Seewis-Schmitten;PAG;Haltestelle;Bus;617
Weinfelden;2725465;1269763;Weinfelden, Bahnhof;PAG;Haltestelle;Bus;429
Doppleschwand;2645573;1207501;Doppleschwand, Brüggweid;PAG;Haltestelle;Bus;678
Fislisbach;2664181;1253970;Fislisbach, Steinäcker;PAG;Haltestelle;Bus;420
Saas-Fee;2638193;1106860;Saas-Fee, Falke;OSF;Haltestelle;Bus;1781
Brienz (BE);2644941;1175687;Brienzerberg, Bramisegg;PAG;Haltestelle;Bus;992
Gurmels;2577619;1191807;Cordast, Kirche;TPF;Haltestelle;Bus;606
Schaffhausen;2690663;1286179;Schaffhausen, Schweizersbild;VBSH;Haltestelle;Bus;464
Saignelégier;2568250;1233574;Saignelégier, Rouges-Terres;PAG;Haltestelle;Bus;957
Ruggell;2758082;1234052;Ruggell, Sennerei;VLM;Haltestelle;Bus;433
Porrentruy;2572725;1251820;Porrentruy, Fbg St. Germain;PAG;Haltestelle;Bus;424
L'Abbaye;2514759;1169211;Le Pont;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;1008
Spreitenbach;2669871;1253152;Spreitenbach, Furttalstrasse;AVA;Haltestelle;Bus;398
Valbroye;2551982;1177635;Combremont-le-Petit, poste;PAG;Haltestelle;Bus;668
Wangenried;2616943;1229486;Wangenried, Sägerei;asm;Haltestelle;Bus;473
Winterthur;2696822;1261632;Winterthur, Archstrasse/HB;SBW;Haltestelle;Bus;439
Mex (VD);2532079;1158147;Mex VD, En Verney;TL;Haltestelle;Bus;481
Saanen;2589312;1146643;Gstaad, Bissenbrücke;PAG;Haltestelle;Bus;1100
Gommiswald;2721218;1235012;Ricken SG, Rittmarren;PAG;Haltestelle;Bus;808
Brütten;2692873;1258528;Brütten, Hofacher;SBW;Haltestelle;Bus;612
Heimenhausen;2619739;1228672;Heimenhausen, Post;asm;Haltestelle;Bus;456
Orbe;2530536;1176356;Orbe, route de Valeyres;TRAVYS;Haltestelle;Bus;492
Develier;2588977;1244936;Develier, Le Cerf;PAG;Haltestelle;Bus;477
Rapperswil-Jona;2705299;1231169;Rapperswil SG, Oberseeplatz;VZO;Haltestelle;Bus;408
Visp;2633662;1127658;Visp, Fassji;PAG;Haltestelle;Bus;646
Wittenbach;2746503;1258502;Wittenbach, Grünau;PAG;Haltestelle;Bus;598
Safiental;2746380;1180148;Acla (Safien);PAG;Haltestelle;Bus;1239
Birsfelden;2614252;1267158;Birsfelden, Friedhof;AAGL;Haltestelle;Bus;254
Gretzenbach;2642417;1244834;Gretzenbach, Weid;BBA;Haltestelle;Bus;412
Lungern;2655000;1181900;Lungern, Dorfkapelle;SBB CFF FFS;Haltestelle;Bus;752
Waldstatt;2739564;1246828;Waldstatt;AB;Haltestelle;Zug;814
Isérables;2584964;1112558;Isérables;TRI;Haltestelle;Kabinenbahn;1116
Tujetsch;2696765;1169314;Bostgas;ASS;Haltestelle;Sesselbahn;2214
Mendrisio;2719656;1080969;Mendrisio, Stazione;AMSA;Haltestelle;Bus;336
Trimmis;2761467;1197286;Trimmis, Alt Strass;PAG;Haltestelle;Bus;560
Epalinges;2540496;1156642;Epalinges, Bois de Ban;TL;Haltestelle;Bus;791
Ogens;2545207;1173545;Ogens, village;PAG;Haltestelle;Bus;632
La Sonnaz;2575267;1186418;Formangueires, Moulin;TPF;Haltestelle;Bus;565
Cham;2675170;1227920;Hagendorn, Ziegelei-Museum;ZVB;Haltestelle;Bus;408
Trogen;2752241;1252425;Gfeld;AB;Haltestelle;Zug;913
Zofingen;2638259;1237958;Zofingen, Bifangstrasse;AVA;Haltestelle;Bus;432
Allschwil;2607958;1267223;Allschwil, Hagmattstrasse;BLT;Haltestelle;Bus;278
Châtel-Saint-Denis;2558576;1152861;Châtel-St-Denis, centre;TPF;Haltestelle;Bus;807
Regensdorf;2676942;1256335;Adlikon b. R., Sonnhalde West;VBG;Haltestelle;Bus;443
Martigny;2571949;1105988;Martigny, Place de Rome;PAG;Haltestelle;Bus;469
Schönenbuch;2605215;1265527;Schönenbuch, Im Pfeiffensack;BVB;Haltestelle;Bus;360
Urnäsch;2740101;1243796;Zürchersmühle, Bahnhof;AB;Haltestelle;Bus;811
Cerentino;2684780;1128204;Cerentino, Pedipiodi;PAG;Haltestelle;Bus;956
Rheinfelden;2627534;1267023;Rheinfelden, Kohlplatz;PAG;Haltestelle;Bus;290
Basel;2612815;1265751;Basel SBB GB;SBB CFF FFS;Bedienpunkt;;276
Soyhières;2594873;1248700;Soyhières;SBB CFF FFS;Bedienpunkt;;400
Sion;2593630;1118275;Salins, Turin;PAG;Haltestelle;Bus;619
Ormont-Dessus;2582742;1132086;Cabane-des-Diabl. (Glacier);G3AG;Zugeordneter Betriebspunkt;;2521
Mönchaltorf;2696947;1241300;Mönchaltorf, Langenmatt;VZO;Haltestelle;Bus;442
Lausanne;2539457;1152187;Lausanne, Verdeil;TL;Haltestelle;Bus;533
Burgdorf;2614262;1211877;Burgdorf, Mühlegasse;BLAG;Haltestelle;Bus;534
Mendrisio;2717247;1081316;Besazio, Crusagh;PAG;Haltestelle;Bus;502
Samnaun;2822851;1206293;Alptrider Sattel (Bergst. I);LS;Zugeordneter Betriebspunkt;;2493
Ilanz/Glion;2733330;1181990;Strada im Oberland;PAG;Haltestelle;Bus;717
Onsernone;2690630;1118215;Crana, Ponte Oscuro;PAG;Haltestelle;Bus;737
Spiez;2618848;1170401;Spiez, Kapellenstrasse;PAG;Haltestelle;Bus;620
Böztal;2649723;1261966;Elfingen, Hiltematt;PAG;Haltestelle;Bus;448
Uster;2696390;1246250;Uster, Meieracher;VZO;Haltestelle;Bus;470
Rothenburg;2661900;1216033;Rothenburg, Buzibach;AAGR;Haltestelle;Bus;484
Vernier;2496170;1117042;Vernier, CO Renard;TPG;Haltestelle;Bus;385
Thalwil;2685820;1237430;Thalwil, Mettli;SZU;Haltestelle;Bus;459
Pully;2538893;1150902;Pully, Tour Haldimand;TL;Haltestelle;Bus;384
Capriasca;2718475;1104472;Odogno, Paese;PAG;Haltestelle;Bus;606
Meggen;2670943;1210944;Meggen, Schlössli;VBL;Haltestelle;Bus;479
Lütisburg;2723931;1250663;Lütisburg, Dorf;PAG;Haltestelle;Bus;582
Arosa;2768996;1188830;St. Peter-Molinis;RhB FR VR;Haltestelle und Bedienpunkt;Zug;1157
Bissone;2718300;1090100;Bissone, autostrada;SNL;Haltestelle;Bus;274
Kriens;2663710;1209583;Kriens, Busschleife;VBL;Haltestelle;Bus;490
Thayngen;2691500;1292185;Opfertshofen SH, Reiatstube;VBSH;Haltestelle;Bus;570
Orsières;2576320;1096450;Som-la-Proz;TMR;Haltestelle;Bus;973
Menznau;2642472;1210093;Menzberg, Dorfplatz;PAG;Haltestelle;Bus;1015
Biasca;2717774;1135422;Biasca, Centro/Borgo;PAG;Haltestelle;Bus;301
Brienz (BE);2649828;1177347;Brienzwiler;zb;Haltestelle und Bedienpunkt;Zug;574
Davos;2781545;1186164;Schatzalp (Strelaalp Talstation;SDS;Haltestelle;Sesselbahn;1848
Zürich;2682418;1251320;Zürich, Birchdörfli;VBZ;Haltestelle;Bus;463
Mühleberg;2589200;1198137;Rosshäusern, Bahnhof;PAG;Haltestelle;Bus;580
Köniz;2596621;1196675;Köniz, Leen;SVB;Haltestelle;Bus;625
Rheinau;2687300;1277075;Rheinau, Hallenbad;PAG;Haltestelle;Bus;372
Frauenfeld;2708427;1268357;Frauenfeld, Oberwiesen;SBF;Haltestelle;Bus;400
Amden;2729128;1223405;Amden, Dorf;AWA;Haltestelle;Bus;910
Wiler (Lötschen);2626081;1138996;Wiler (Lötschen) (Talstation);LABB;Haltestelle;Kabinenbahn;1411
Cham;2676090;1226012;Hünenberg, Huob;ZVB;Haltestelle;Bus;446
Dietlikon;2688523;1253302;Dietlikon, Lettenstrasse;VBG;Haltestelle;Bus;472
Avenches;2570296;1194506;Avenches, plage;PAG;Haltestelle;Bus;434
Conthey;2589855;1119942;Conthey, village;PAG;Haltestelle;Bus;510
Bäretswil;2707203;1243811;Bäretswil, Gemeindehaus;VZO;Haltestelle;Bus;706
Heiden;2758256;1257084;Heiden Gleisende;AB;Gleisende;;791
Glarus Süd;2718250;1202100;Seblengrat;SPBR;Haltestelle;Sesselbahn;1885
Saicourt;2580507;1232511;Le Fuet, poste;PAG;Haltestelle;Bus;848
Stallikon;2679321;1239184;Stallikon, Tägerst;PAG;Haltestelle;Bus;550
Beckenried;2678740;1201143;Hartmanix;BBE;Haltestelle;Kabinenbahn;831
Sion;2595434;1117572;Les Agettes, village;PAG;Haltestelle;Bus;1162
Schiers;2772328;1205593;Schiers, Bazolis;PAG;Haltestelle;Bus;937
Solothurn;2607523;1228880;Solothurn, Kunstmuseum;BSU;Haltestelle;Bus;448
Riva San Vitale;2719152;1084712;Riva S. Vitale, Piazza Scuole;PAG;Haltestelle;Bus;273
Davos;2782997;1186344;Davos Dorf, Schiabach;VBD;Haltestelle;Bus;1553
Mörel-Filet;2646748;1134094;Mörel (Riederalpbahn);ABAG;Haltestelle;Kabinenbahn;802
Neuchâtel;2562198;1205438;Neuchâtel Cargo;SBB CFF FFS;Bedienpunkt;;479
Echichens;2527357;1153038;Echichens, croisée;MBC;Haltestelle;Bus;469
Surpierre;2556537;1177892;Villeneuve FR, Champs Abessaz;PAG;Haltestelle;Bus;495
