xtf_id,UID,Nummer,Abkuerzung,Name_oeV,Name_HR,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_BearbeitungsDatum,Gueltigkeit_Stand
ch14uvag00248901,,20626,#LEER,Gemeinde Pratteln - Pratteln,Gemeinde Pratteln - Pratteln,18000101,,20220331,20220508
ch14uvag00001180,,2468,,Slovak Lines A.S.,Slovak Lines A.S.,18000101,,20220331,20220508
ch14uvag00000745,CHE-113.993.470,2838,RLC,railCare AG,railCare AG,20090901,,20220331,20220508
ch14uvag00000831,CHE-283.874.463,2816,SRCM,Swiss Rail Car Management GmbH,Swiss Rail Car Management GmbH,20130201,,20220331,20220508
ch14uvag00225158,,2764,,Euro Turist,Euro Turist,18000101,,20220331,20220508
ch14uvag00166356,,9406,,Turist Kosova e RE sh.p.k.,Turist Kosova e RE sh.p.k.,18000101,,20220331,20220508
ch14uvag00107873,CHE-499.007.036,355,BSF,Busbetrieb Seetal-Freiamt AG,Busbetrieb Seetal-Freiamt AG,20130429,,20220331,20220508
ch14uvag00225157,CHE-396.301.450,1359,CAS,Cassons AG,Cassons AG,20160129,,20220331,20220508
ch14uvag00001103,,2361,,Eurolines Nederland B.V.,Eurolines Nederland B.V.,18000101,,20220331,20220508
ch14uvag00000478,CHE-378.550.239,2844,ELTE,ELBATECH AG,ELBATECH AG,20130620,,20220331,20220508
ch14uvag00248902,,20618,#LEER,LANDI ArcJura SA,LANDI ArcJura SA,18000101,,20220331,20220508
ch14uvag00001141,,2426,,Seger Tours GmbH,Seger Tours GmbH,18000101,,20220331,20220508
ch14uvag00248903,,20550,#LEER,Rigips AG,Rigips AG,18000101,,20220331,20220508
ch14uvag00248904,,20712,#LEER,Fondation des terrains industr,Fondation des terrains industr,18000101,,20220331,20220508
ch14uvag00248905,CHE-467.858.248,1360,RailH,Rail Historic,Rail Historic,18000101,,20220331,20220508
ch14uvag00224189,,2750,,Jelic Tours d.o.o.,Jelic Tours d.o.o.,18000101,,20220331,20220508
ch14uvag00001332,,2634,,M Lines s.r.o.,M Lines s.r.o.,18000101,,20220331,20220508
ch14uvag00000517,,56,FS,Ferrovie dello Stato,Ferrovie dello Stato,18000101,,20220331,20220508
ch14uvag00001275,CHE-105.830.340,2571,,Eurobus Bern AG,Eurobus Bern AG,18000101,,20220331,20220508
ch14uvag00248906, IT 02869320172,3145,MAGLI,Magli Intermodal Service Srl,Magli Intermodal Service Srl,18000101,,20220331,20220508
ch14uvag00107868,,3017,HU,Hupac S.p.A.,Hupac S.p.A.,18000101,,20220331,20220508
ch14uvag00224187,,2737,,Party Bus d.o.o.,Party Bus d.o.o.,18000101,,20220331,20220508
ch14uvag00166344,CHE?114.398.821,1332,GTBE,Genossenschaft Tschinglenbahn Elm,Genossenschaft Tschinglenbahn Elm,20080702,,20220331,20220508
ch14uvag00248907,,20101,#SAWSCHAG,SAW Schmitter AG,SAW Schmitter AG,18000101,,20220331,20220508
ch14uvag00000475,,2038,EL-IT,Eurolines Italia S.r.l.,Eurolines Italia S.r.l.,18000101,,20220331,20220508
ch14uvag00165864,,2699,,Autolinee Regionali S.R.L. ,Autolinee Regionali S.R.L. ,18000101,,20220331,20220508
ch14uvag00248908,,3130,MDW,Medway Italia S.r.l.,Medway Italia S.r.l.,18000101,,20220331,20220508
ch14uvag00107783,,2659,,Mimoza DTP,Mimoza DTP,18000101,,20220331,20220508
