localized_slugs,phone,additional_ids,name,logo,location,,id,type,additional_slugs,slug,cooperative
"{'de': 'voi-wichtrach', 'it': 'voi-wichtrach', 'fr': 'voi-wichtrach'}",058 567 50 90,['0037333_1075'],VOI Wichtrach,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 7.5753497, 'lat': 46.850993}, 'zip': '3114', 'country': 'CH', 'address': 'Dorfplatz 1', 'city': 'Wichtrach', 'address2': ''}",,37333,voi,[],voi-wichtrach,"{'name': 'Aare', 'id': 'gmaa', 'url': 'https://www.migros.ch/de/genossenschaften/migros-aare.html'}"
"{'de': 'voi-wilderswil', 'it': 'voi-wilderswil', 'fr': 'voi-wilderswil'}",058 567 21 80,['0037332_1076'],VOI Wilderswil,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 7.8690846, 'lat': 46.6660645}, 'zip': '3812', 'country': 'CH', 'address': 'Hauptstrasse 27', 'city': 'Wilderswil', 'address2': ''}",,37332,voi,[],voi-wilderswil,"{'name': 'Aare', 'id': 'gmaa', 'url': 'https://www.migros.ch/de/genossenschaften/migros-aare.html'}"
"{'de': 'voi-zuerich-gruenau', 'it': 'voi-zuerich-gruenau', 'fr': 'voi-zuerich-gruenau'}",043 343 03 45,[],VOI Zürich - Grünau,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 8.4863988, 'lat': 47.3963402}, 'zip': '8064', 'country': 'CH', 'address': 'Grünauring 37', 'city': 'Zürich', 'address2': ''}",,150801,voi,[],voi-zuerich-gruenau,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
"{'de': 'voi-zuerich-hoenggerstrasse', 'it': 'voi-zuerich-hoenggerstrasse', 'fr': 'voi-zuerich-hoenggerstrasse'}",058 563 47 95,['0150812_820'],VOI Zürich - Hönggerstrasse,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 8.5184213, 'lat': 47.3952404}, 'zip': '8037', 'country': 'CH', 'address': 'Hönggerstrasse 117', 'city': 'Zürich', 'address2': ''}",,150812,voi,[],voi-zuerich-hoenggerstrasse,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
"{'de': 'voi-zuerich-in-der-ey', 'it': 'voi-zuerich-in-der-ey', 'fr': 'voi-zuerich-in-der-ey'}",058 563 47 20,['0150804_566'],VOI Zürich - In der Ey,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 8.4928295, 'lat': 47.3705108}, 'zip': '8047', 'country': 'CH', 'address': 'Letzigraben 239', 'city': 'Zürich', 'address2': ''}",,150804,voi,[],voi-zuerich-in-der-ey,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
"{'de': 'voi-zuerich-leimbach', 'it': 'voi-zuerich-leimbach', 'fr': 'voi-zuerich-leimbach'}",058 563 47 55,['0150809_720'],VOI Zürich - Leimbach,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 8.5153194, 'lat': 47.3297396}, 'zip': '8041', 'country': 'CH', 'address': 'Ankenweid 10', 'city': 'Zürich', 'address2': ''}",,150809,voi,['voi-zh-leimbach'],voi-zuerich-leimbach,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
"{'de': 'voi-zuerich-paradies', 'it': 'voi-zuerich-paradies', 'fr': 'voi-zuerich-paradies'}",058 563 31 20,['0150805_567'],VOI Zürich - Paradies,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 8.5294762, 'lat': 47.3347241}, 'zip': '8038', 'country': 'CH', 'address': 'Paradiesstrasse 3', 'city': 'Zürich', 'address2': ''}",,150805,voi,['voi-paradies'],voi-zuerich-paradies,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
"{'de': 'voi-zuerich-witikon', 'it': 'voi-zuerich-witikon', 'fr': 'voi-zuerich-witikon'}",058 563 47 00,['0150800_718'],VOI Zürich - Witikon,"{'small': '//image.migros.ch/filialen/50x50/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'stack': '//image.migros.ch/filialen/{stack}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'original': '//image.migros.ch/filialen/original/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'large': '//image.migros.ch/filialen/600x400/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png', 'medium': '//image.migros.ch/filialen/200x200/1b550a061a1d511cd5ea471433948218bcf1a7b6/voi-de.png'}","{'geo': {'lon': 8.5939597, 'lat': 47.3599907}, 'zip': '8053', 'country': 'CH', 'address': 'Loorenstrasse 35', 'city': 'Zürich', 'address2': ''}",,150800,voi,[],voi-zuerich-witikon,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
"{'de': 'vacallo-pizzamigli', 'it': 'vacallo-pizzamigli', 'fr': 'vacallo-pizzamigli'}",091 683 82 50,[],Vacallo-Pizzamigli,"{'small': '//image.migros.ch/filialen/50x50/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'stack': '//image.migros.ch/filialen/{stack}/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'original': '//image.migros.ch/filialen/original/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'large': '//image.migros.ch/filialen/600x400/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'medium': '//image.migros.ch/filialen/200x200/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png'}","{'geo': {'lon': 9.0372212, 'lat': 45.8432895}, 'zip': '6833', 'country': 'CH', 'address': 'Via del Breggia 13', 'city': 'Vacallo', 'address2': ''}",,4797346,pica,[],vacallo-pizzamigli,
"{'de': 'vallorbe', 'it': 'vallorbe', 'fr': 'vallorbe'}",058 573 77 30,['0063740_967'],Vallorbe,"{'small': '//image.migros.ch/filialen/50x50/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'stack': '//image.migros.ch/filialen/{stack}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'original': '//image.migros.ch/filialen/original/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'large': '//image.migros.ch/filialen/600x400/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'medium': '//image.migros.ch/filialen/200x200/b7ed598472b2aa065658425a494316272885c3ff/m-de.png'}","{'geo': {'lon': 6.3777456, 'lat': 46.7117213}, 'zip': '1337', 'country': 'CH', 'address': 'Grand-Rue 23', 'city': 'Vallorbe', 'address2': ''}",,63740,m,[],vallorbe,"{'name': 'Waadt', 'id': 'gmvd', 'url': 'https://www.migros.ch/de/genossenschaften/migros-waadt.html'}"
