Gemeinde,coordinatex,coordinatey,name,GMDNAME
Strengelbach,47.281651,7.929283,SPAR Supermarkt Strengelbach,Strengelbach
Zürich,47.403215,8.547119,SPAR Oerlikon Corrado Imbimbo's Frischmärkte,Zürich
Staufen,47.3869,8.169671,SPAR Supermarkt Lenzburg,Lenzburg
Zürich,47.379738,8.490404,SPAR Supermarkt Zollfreilager,Uitikon
Arbon,47.519601,9.423915,SPAR Supermarkt Arbon,Arbon
Bad Ragaz,47.006808,9.500161,SPAR Supermarkt Bad Ragaz,Bad Ragaz
Thun,46.757152,7.626919,SPAR Supermarkt Thun,Thun
Nottwil,47.135793,8.135516,SPAR Supermarkt Nottwil,Nottwil
Zug,47.16857,8.51597,SPAR Supermarkt Zug,Zug
Rothrist,47.303245,7.878685,SPAR Supermarkt Rothrist,Rothrist
Andwil,47.439564,9.26745,SPAR Supermarkt Andwil,Andwil (SG)
Schaffhausen,47.722321,8.655228,SPAR Supermarkt Schaffhausen,Stetten (SH)
Pratteln,47.533667,7.710403,SPAR Supermarkt Pratteln,Augst
Speicher,47.409146,9.444262,SPAR Supermarkt Speicher,Speicher
Amriswil,47.545121,9.285435,SPAR Supermarkt Amriswil mit TS Tamoil,Amriswil
Teufen,47.390957,9.385693,SPAR Supermarkt Teufen,Teufen (AR)
Bürglen,47.549312,9.152724,SPAR Supermarkt Bürglen,Bürglen (TG)
Buchrain,47.096264,8.351372,SPAR Supermarkt Buchrain,Buchrain
Seewen,47.028051,8.632005,SPAR Supermarkt Seewen,Schwyz
Regensdorf,47.445657,8.46292,SPAR Supermarkt Regensdorf,Regensdorf
St. Gallen,47.402866,9.336674,SPAR Supermarkt St. Gallen Wolfganghof,Gaiserwald
Zürich,47.423121,8.499305,SPAR Supermarkt Zürich,Regensdorf
Zürich,47.370326,8.556885,SPAR Supermarkt Zürich Dolderstrasse,Zürich
Rotkreuz,47.141218,8.430888,SPAR Supermarkt Rotkreuz,Risch
Davos Platz,46.793481,9.823409,SPAR Supermarkt Davos Platz,Davos
Wittenbach,47.460677,9.388179,SPAR Supermarkt Wittenbach,Wittenbach
Heimberg,46.781124,7.603995,SPAR Supermarkt Heimberg mit TS Tamoil,Heimberg
Gerlafingen,47.170544,7.574961,SPAR Supermarkt Gerlafingen mit TS Tamoil,Gerlafingen
Baden,47.451575,8.28993,SPAR Supermarkt Baden-Dättwil mit TS Tamoil,Fislisbach
Schötz,47.170266,7.987656,SPAR Supermarkt Schötz,Schötz
Wangen,47.189712,8.896444,SPAR Supermarkt Wangen SZ,Wangen (SZ)
Goldach,47.47467,9.46701,SPAR Supermarkt Goldach,Goldach
Herisau,47.385669,9.280847,SPAR Supermarkt Herisau,Herisau
Kreuzlingen,47.64436,9.186461,SPAR Supermarkt Kreuzlingen mit TS Tamoil,Kreuzlingen
Unterterzen,47.112641,9.249932,SPAR Supermarkt Unterterzen,Quarten
Schüpfen,47.043143,7.380264,SPAR Supermarkt Schüpfen,Schüpfen
Rüschlikon,47.306258,8.556283,SPAR Supermarkt Rüschlikon,Rüschlikon
Wetzikon,47.327377,8.784052,SPAR Supermarkt Wetzikon,Wetzikon (ZH)
Schmerikon,47.225501,8.950656,SPAR Supermarkt Schmerikon,Schmerikon
Hochdorf,47.164911,8.300142,SPAR Supermarkt Hochdorf mit TS Tamoil,Hochdorf
Schaan FL,47.166869,9.509457,SPAR Supermarkt Schaan,Buchs (SG)
Wildhaus-Alt St. Johann,47.193516,9.284037,SPAR Supermarkt Alt St. Johann,Wildhaus-Alt St. Johann
Avenches,46.901214,7.048817,SPAR Supermarkt Avenches,Avenches
Baden,47.454923,8.282346,SPAR Supermarkt Dättwil,Fislisbach
Rüti,47.255857,8.856389,SPAR Supermarkt Rüti ZH,Rüti (ZH)
Rümlang,47.450987,8.530307,SPAR Supermarkt Rümlang,Rümlang
Wildhaus,47.203756,9.350948,SPAR Supermarkt Wildhaus,Wildhaus-Alt St. Johann
Basel,47.547556,7.622083,SPAR Supermarkt Basel,Birsfelden
Vilters,47.024798,9.451389,SPAR Supermarkt Vilters,Vilters-Wangs
Valbella,46.746285,9.555299,SPAR Supermarkt Valbella,Vaz/Obervaz
Hinwil,47.301012,8.842777,SPAR Supermarkt Hinwil,Hinwil
