name,Lat,Long,Ladentyp,GMDNAME
Bern ,46.9488819,7.4395076,mr,Bern
Bern ,46.9475326,7.3832855,mm,Wohlen bei Bern
Bern ,46.9580156,7.4532328,m,Bern
Bern ,46.9474381,7.4379673,mm,Bern
Bern ,46.9488786,7.3965641,soca,Köniz
Bern ,46.9475739,7.4401581,m,Bern
Bern ,46.9368899,7.475067,m,Muri bei Bern
Bern ,46.9368988,7.4751852,mgls,Muri bei Bern
Bern ,46.9399808,7.4320705,m,Bern
Bern ,46.9464,7.384876,mgls,Köniz
Bern ,46.9454091,7.4727611,mm,Ostermundigen
Bern ,46.9421839,7.4531633,m,Bern
Bern ,46.9559292,7.4465984,m,Bern
Bern ,46.9482654,7.4448371,mmm,Bern
Bern ,46.9481395,7.445796,fm,Bern
Bern ,46.9395518,7.4811263,m,Muri bei Bern
Bern ,46.944202,7.3992866,m,Köniz
Bern ,46.9658677,7.4659375,mgls,Ittigen
Bern ,46.9654266,7.4589773,fm,Ittigen
Bern ,46.9480604,7.4369117,m,Bern
Bern ,46.9455311,7.3743954,mm,Wohlen bei Bern
Bern ,46.9433611,7.3706941,mgls,Wohlen bei Bern
Bern ,46.9657983,7.4635232,mm,Ittigen
Bern ,46.955387,7.433226,mm,Bern
Bern ,46.9549213,7.4300874,mig,Bern
Bern ,46.9467745,7.3953525,m,Köniz
Bex,46.2504679,7.015988,m,Bex
Biasca,46.3535809,8.9721457,m,Biasca
Biasca,46.3587333,8.969252,pica,Biasca
Biberist,47.1831041,7.5617677,m,Biberist
Biberist,47.1898607,7.5532515,soca,Biberist
Biel/Bienne ,47.1350714,7.2443054,mm,Biel/Bienne
Biel/Bienne ,47.1518033,7.2671886,m,Biel/Bienne
Biel/Bienne ,47.1320095,7.2523976,mm,Biel/Bienne
Biel/Bienne ,47.140721,7.2475398,mm,Biel/Bienne
Biel/Bienne,47.1559201,7.2822405,m,Orpund
Affoltern am Albis,47.2727413,8.4463515,spez,Affoltern am Albis
Baden,47.478212,8.3050272,spez,Baden
Ebikon,47.08554,8.346932,spez,Ebikon
Gland,46.42733,6.261512,spez,Gland
Hinwil,47.305885,8.821819,spez,Hinwil
Muri,46.9261433,7.503635,spez,Muri bei Bern
Pratteln,47.5245479,7.6818349,spez,Pratteln
Romanel,46.570633,6.60575,spez,Romanel-sur-Lausanne
Schlieren,47.401318,8.435707,spez,Schlieren
Volketswil,47.3799138,8.6777467,spez,Greifensee
Winterthur,47.4984656,8.7211386,spez,Winterthur
Zuchwil,47.21009,7.55402,spez,Zuchwil
Binningen,47.5377117,7.5719652,mig,Binningen
Binningen ,47.5324671,7.5729746,mm,Binningen
Binningen ,47.5412885,7.5742852,m,Binningen
Bioggio,46.0164899,8.9123616,pica,Bioggio
Birmensdorf,47.3541611,8.4367541,m,Birmensdorf (ZH)
Birmensdorf,47.3654476,8.4297103,shell,Birmensdorf (ZH)
Birsfelden,47.5554924,7.6242615,mm,Birsfelden
Birsfelden,47.5497163,7.6255831,mgls,Birsfelden
Bischofszell,47.4925953,9.2441346,m,Bischofszell
Bischofszell,47.492215,9.2414237,mig,Bischofszell
Bitsch,46.338042,8.0160849,dmp,Bitsch
Bière,46.5380702,6.3321026,dmp,Bière
Blonay,46.4644668,6.8952017,m,Blonay - Saint-Légier
Bolligen,46.9701472,7.4968721,mig,Bolligen
Bonstetten,47.3254148,8.4722931,dmp,Bonstetten
Boswil,47.2979933,8.316425,mgls,Boswil
Boudry,46.9539937,6.8454068,mgls,Boudry
Breitenbach ,47.4083107,7.542466,mm,Breitenbach
Bremgarten (AG),47.3556302,8.3262155,shell,Bremgarten (AG)
Bremgarten (AG),47.3513448,8.3457318,mig,Bremgarten (AG)
Bremgarten (AG),47.3526495,8.3497522,mm,Bremgarten (AG)
Bremgarten (AG),47.3522802,8.3498121,fm,Bremgarten (AG)
Bremgarten (AG),46.9753771,7.4375202,m,Bremgarten bei Bern
Brienz,46.755197,8.0282209,m,Brienz (BE)
Brig,46.3184112,7.9893511,mm,Brig-Glis
Brissago,46.1145732,8.7060466,pica,Brissago
Bronschhofen,47.4807063,9.0325903,m,Bettwiesen
Brugg,47.4828987,8.2082727,mig,Brugg
Brugg ,47.481945,8.209613,mmm,Brugg
Brugg ,47.4917188,8.2203454,mgls,Windisch
Brugg ,47.483265,8.2081207,spez,Brugg
Brunnen ,46.99991,8.608986,m,Ingenbohl
Brusino,45.914485,8.919178,pica,Vico Morcote
Brügg,47.1236832,7.278243,mig,Brügg
Brügg ,47.119664,7.267001,mmm,Port
Bubendorf,47.4568583,7.7432173,mm,Bubendorf
Buchrain ,47.0954005,8.3488964,m,Buchrain
Buchs (AG) ,47.3846372,8.0889759,mmm,Suhr
Buchs (SG),47.164196,9.4787211,spez,Buchs (SG)
Buchs (SG),47.163967,9.472575,mm,Buchs (SG)
Buchs (SG),47.1643081,9.4734086,fm,Buchs (SG)
Bulle,46.6233565,7.0563577,mgls,Bulle
Bulle ,46.6232086,7.0574539,mmm,Bulle
Bulle ,46.6192669,7.0538661,m,Bulle
Buochs,46.9777789,8.4159724,m,Buochs
Burgdorf,47.068533,7.6005253,mgls,Lyssach
Burgdorf ,47.0592476,7.6208431,mm,Burgdorf
Burgdorf ,47.0599893,7.6249767,fm,Burgdorf
Bursins,46.4446744,6.2972544,soca,Bursinel
Bussigny,46.5475444,6.5530928,mm,Bussigny
Bussigny,46.5476654,6.551894,mig,Bussigny
Bülach,47.5117034,8.5443391,mgls,Bülach
Bülach ,47.5209712,8.5399087,mm,Bülach
Bülach,47.5096113,8.5392376,mmm,Bülach
Bürglen (UR),46.8727476,8.6515004,mm,Schattdorf
Bütschwil,47.3631624,9.0730977,m,Bütschwil-Ganterschwil
Cadenazzo,46.1521213,8.9385826,pica,Cadenazzo
Camorino,46.1670889,9.0015256,soca,Sant'Antonino
Capolago,45.9099345,8.9829846,pica,Riva San Vitale
Carouge (GE),46.1834886,6.1407522,m,Carouge (GE)
Carouge (GE),46.1914249,6.1376403,m,Carouge (GE)
Carouge (GE),46.1847993,6.1339501,fm,Carouge (GE)
Carouge (GE),46.1824507,6.1344054,mm,Carouge (GE)
Carouge (GE),46.1897101,6.1318623,shell,Carouge (GE)
Caslano,45.9769776,8.8766875,m,Caslano
Caslano,45.9798317,8.8772401,pica,Neggio
Caslano,45.9740608,8.8697849,pica,Pura
Agno,45.9982691,8.9054575,mmm,Agno
Sant'Antonino,46.153893,8.961926,mmm,Cadenazzo
Sant'Antonino,46.1544523,8.9595539,fm,Cadenazzo
Cernier,47.0580103,6.9017185,mm,Val-de-Ruz
Cham,47.1826816,8.4716866,shell,Cham
Cham ,47.1820876,8.4615121,m,Cham
Chamoson,46.2020085,7.2233814,dmp,Chamoson
Genève ,46.5076352,6.6253223,chngf,Lausanne
Genève ,46.2018344,6.1517737,chngf,Genève
Genève ,46.1933173,6.199113,chngf,Chêne-Bourg
Chavannes les Cèdres,46.5305659,6.5725481,m,Chavannes-près-Renens
Cheseaux,46.5825542,6.6013953,shell,Cheseaux-sur-Lausanne
Chiasso ,45.8373775,9.0240412,m,Chiasso
Chiasso,45.8379393,9.0338472,pica,Chiasso
Chiasso,45.8214687,9.0055867,pica,Chiasso
Chur,46.8515538,9.5127989,mgls,Chur
Chur ,46.846195,9.513262,mm,Chur
Chur ,46.8515396,9.5275536,mm,Chur
Chur ,46.8577894,9.5207396,m,Chur
Chur ,46.8731603,9.5344566,soca,Chur
Chur,46.8717233,9.5346776,m,Chur
Chur,46.8729209,9.5339975,soca,Chur
Churwalden,46.7779744,9.543758,m,Churwalden
Clarens ,46.4412673,6.8934821,m,Montreux
Cointrin,46.2253308,6.1073222,mgls,Le Grand-Saconnex
Coldrerio,45.8577734,8.9853133,pica,Coldrerio
Collombey,46.2652306,6.9566145,mm,Monthey
Collombey,46.2672488,6.9531105,mgls,Monthey
Collonge,46.240334,6.1985909,mm,Collonge-Bellerive
Colombier,46.9672459,6.8517986,m,Milvignes
Conthey,46.2245292,7.3014206,mgls,Conthey
Conthey ,46.2235391,7.3009436,mmm,Conthey
Cortaillod,46.9442979,6.8429599,m,Cortaillod
Cossonay,46.6137634,6.5066553,m,Cossonay
Courtepin,46.8656187,7.1201102,m,Courtepin
Crans,46.3094446,7.4732188,m,Crans-Montana
Crissier,46.5543608,6.5690604,mmm,Crissier
Savosa,46.0164918,8.9413299,m,Massagno
Cugy,46.5877538,6.6414782,m,Cugy (VD)
Losone,46.1667017,8.7715623,fm,Losone
Zürich,47.3798176,8.5369492,m,Zürich
Davos,46.8096852,9.8419154,mig,Davos
Davos ,46.79356,9.821248,spez,Davos
Davos,46.8015209,9.8327029,mm,Davos
Davos,46.8073239,9.8382834,m,Davos
Degersheim,47.3724798,9.1965728,m,Degersheim
Delémont,47.3635367,7.34649,mm,Delémont
Delémont ,47.3613406,7.3568451,fm,Delémont
Derendingen,47.1974163,7.5836013,m,Derendingen
Dielsdorf,47.4807739,8.4644704,mm,Dielsdorf
Dielsdorf,47.4859688,8.4516463,mgls,Dielsdorf
Dielsdorf,47.4813293,8.46472,mgls,Dielsdorf
Diepoldsau,47.3857976,9.6562685,m,Diepoldsau
Dierikon ,47.0954723,8.3630434,spez,Dierikon
Diessenhofen,47.6859558,8.7521372,m,Diessenhofen
Dietikon ,47.3841388,8.3956104,mgls,Bergdietikon
Dietikon ,47.4090317,8.4051555,m,Dietikon
Dietikon ,47.4051079,8.4018695,mm,Dietikon
Dietlikon,47.4147399,8.620246,shell,Dietlikon
Dietlikon ,47.4191512,8.6216426,m,Dietlikon
Domat,46.8372082,9.4653889,m,Domat/Ems
Domdidier,46.8653776,7.0092891,m,Belmont-Broye
Dornach,47.4881024,7.6119786,m,Dornach
Däniken,47.3564228,7.9825917,shell,Däniken
Dättnau,47.477406,8.699324,m,Brütten
Döttingen,47.574184,8.255778,m,Klingnau
Dübendorf,47.3982637,8.6176168,mm,Dübendorf
Dübendorf,47.3999075,8.6234613,mig,Dübendorf
Dübendorf ,47.3983776,8.6051913,soca,Dübendorf
Dübendorf ,47.4014,8.6037,fm,Wallisellen
Dübendorf ,47.4032249,8.6074055,shell,Dübendorf
Dübendorf ,47.3954996,8.6060292,shell,Dübendorf
Dübendorf ,47.3963241,8.6231363,soca,Dübendorf
Dübendorf ,47.3976505,8.598034,m,Wallisellen
Düdingen,46.8469871,7.19207,mm,Düdingen
Düdingen,46.853979,7.1910979,shell,Düdingen
Ebikon ,47.0811001,8.3408568,mm,Ebikon
Ebikon ,47.0939482,8.3588978,mmm,Buchrain
Ebmatingen,47.350978,8.6432014,m,Fällanden
Ebnat,47.2664736,9.1197808,m,Ebnat-Kappel
Echallens,46.6388941,6.6360482,mm,Echallens
Ecublens ,46.5345194,6.5649077,mm,Ecublens (VD)
Ecublens ,46.5230466,6.5645584,m,Ecublens (VD)
Effretikon,47.4296167,8.6871464,soca,Illnau-Effretikon
Effretikon,47.4258578,8.6864773,mig,Illnau-Effretikon
Effretikon ,47.4281027,8.6857324,mm,Illnau-Effretikon
Egerkingen ,47.3175094,7.8020478,mm,Egerkingen
Egg,47.30247,8.691354,mm,Egg
Eglisau,47.5808035,8.5159717,shell,Eglisau
