name,Lat,Long,Ladentyp,GMDNAME
Lausanne ,46.5376065,6.6333517,m,Lausanne
Lausanne ,46.5314548,6.618466,mm,Prilly
Lausanne ,46.5273163,6.6515176,mm,Pully
Lausanne ,46.5148689,6.6327124,mm,Lausanne
Lausanne ,46.5157505,6.6176221,m,Lausanne
Lausanne ,46.5206694,6.6296469,m,Lausanne
Lausanne ,46.527164,6.6331596,m,Lausanne
Lausanne ,46.5124378,6.62609,m,Lausanne
Lausanne ,46.5170701,6.6073333,shell,Prilly
Lausanne ,46.5333108,6.6467899,m,Lausanne
Lausanne ,46.5253972,6.6230282,dmp,Lausanne
Lausanne ,46.5195069,6.6258276,shell,Lausanne
Lausanne ,46.5227583,6.6269854,mmm,Lausanne
Lausanne ,46.5277032,6.615942,m,Prilly
Lausanne ,46.5216627,6.6166202,m,Lausanne
Le Bouveret,46.3773421,6.8606288,m,Port-Valais
Le Châble,46.080919,7.2140344,dmp,Val de Bagnes
Le Landeron,47.0563834,7.0607499,m,Le Landeron
Le Lignon,46.2034469,6.0963765,m,Vernier
Le Lignon,46.2064893,6.1094413,shell,Lancy
Le Locle,47.0561079,6.7477529,mm,Le Locle
Le Locle,47.0637861,6.7606997,soca,Le Locle
Lenzburg,47.3870206,8.1768398,mm,Lenzburg
Lenzburg ,47.3911132,8.1703375,mig,Lenzburg
Leuk,46.3166844,7.6342235,dmp,Leuk
Leukerbad,46.377942,7.6252028,m,Leukerbad
Leysin,46.3452121,7.0155421,dmp,Leysin
Leytron,46.1872356,7.2085967,dmp,Leytron
Liestal,47.4825911,7.7359876,mm,Liestal
Liestal,47.4851282,7.731261,mig,Liestal
Ligornetto,45.8646321,8.9436371,pica,Stabio
Littau,47.0497563,8.2601648,spez,Kriens
Locarno,46.1670338,8.7897896,soca,Locarno
Locarno ,46.1656809,8.7957267,mm,Locarno
Locarno ,46.1684941,8.7824201,m,Locarno
Lostorf,47.3831117,7.9478151,m,Lostorf
Lugano ,46.0061779,8.9657425,mm,Lugano
Lugano ,46.0070314,8.9517478,mmm,Lugano
Lugano ,46.0183828,8.9586482,m,Savosa
Lugano ,45.9909707,8.9457919,m,Paradiso
Lugano ,46.0184296,8.956658,pica,Savosa
Lugano,46.0106009,8.9634004,pica,Lugano
Lupfig,47.4401518,8.2085453,m,Lupfig
Lutry,46.51285,6.6782126,m,Belmont-sur-Lausanne
Luzern ,47.031586,8.304944,m,Horw
Luzern ,47.0501738,8.3103365,m,Luzern
Luzern ,47.0497659,8.3097035,m,Luzern
Luzern ,47.050865,8.299126,m,Luzern
Luzern ,47.0544761,8.3402123,m,Ebikon
Luzern ,47.0494761,8.2633687,m,Kriens
Luzern ,47.0611806,8.3078217,m,Luzern
Luzern ,47.054745,8.3096768,mm,Luzern
Luzern ,47.0372897,8.3283997,mm,Luzern
Luzern ,47.0462259,8.3071716,m,Luzern
Luzern ,47.0624023,8.3168607,dmp,Luzern
Luzern ,47.0550833,8.3437092,m,Adligenswil
Lyss,47.078457,7.304151,mm,Lyss
Boudry,46.9505063,6.8405634,m,Boudry
Pont-Rouge,46.1872348,6.1274789,m,Lancy
La Sarraz,46.6539794,6.5094894,dmp,La Sarraz
Ouchy,46.5080062,6.6247256,dmp,Lausanne
Maggia,46.2455272,8.7058678,m,Maggia
Malters,47.0378576,8.1793523,m,Malters
Manno,46.032538,8.922815,mgls,Manno
Marin,47.0123055,7.0109105,mgls,La Tène
Marin,47.0116002,7.0079209,mmm,La Tène
Marly ,46.7761541,7.1612389,mm,Marly
Martigny,46.1057968,7.0858975,mgls,Martigny
Martigny,46.1058182,7.078928,mig,Martigny
Martigny ,46.1017023,7.0718577,mmm,Martigny
Martigny,46.1054118,7.0869748,m,Martigny
Martigny,46.1117763,7.0765592,fm,Martigny
Massagno ,46.0097658,8.9390275,m,Massagno
Matten,46.6734205,7.8681811,m,Matten bei Interlaken
Matzingen,47.5268556,8.9221349,m,Matzingen
Meggen,47.0547158,8.3896806,mgls,Meggen
Meilen,47.2683937,8.6454362,mm,Meilen
Meiringen,46.7282562,8.1847964,mm,Meiringen
Melano,45.9194213,8.9853335,m,Riva San Vitale
Melano,45.9314831,8.9741886,pica,Bissone
Mellingen,47.4130888,8.2668681,m,Mellingen
Mels ,47.0420585,9.4313323,mmm,Sargans
Mendrisio,45.8703698,8.9859445,m,Mendrisio
Mendrisio ,45.8675627,8.9774245,pica,Mendrisio
Mendrisio ,45.859934,8.9713351,m,Mendrisio
Mendrisio,45.8749534,8.9843344,mig,Mendrisio
Mendrisio,45.8731313,8.9787787,pica,Mendrisio
Menziken,47.2416,8.1865863,m,Menziken
Meyrin,46.2319199,6.0826195,mm,Meyrin
Meyrin,46.2273525,6.0783775,shell,Meyrin
Meyrin,46.2340918,6.0547036,soca,Meyrin
Meyrin,46.2305986,6.0848783,shell,Meyrin
Mies,46.2961134,6.1671648,shell,Mies
Brig,46.307879,7.9663489,mgls,Brig-Glis
Minusio ,46.1753162,8.8113912,m,Minusio
Montagny,46.7879937,6.6213952,mm,Montagny-près-Yverdon
Montagny,46.788334,6.6206996,mgls,Montagny-près-Yverdon
Monthey ,46.2535582,6.9522265,mmm,Monthey
Montreux,46.4324309,6.9100946,mm,Montreux
Montreux,46.4394305,6.9053644,soca,Montreux
Montreux,46.4358712,6.9103016,mig,Montreux
Morbio,45.8452376,9.0161047,mmm,Morbio Inferiore
Morges,46.509724,6.4948939,mm,Morges
Morges,46.5175234,6.512351,mgls,Morges
Moudon,46.6695393,6.8005522,mm,Moudon
Moutier,47.2766867,7.3698395,mm,Moutier
Moutier,47.2820245,7.3806655,mig,Moutier
Murgenthal,47.2649304,7.8289909,m,Murgenthal
Muri (AG),47.2720346,8.3419017,mm,Muri (AG)
Murten,46.9300318,7.1227072,mm,Murten
Muttenz,47.530439,7.6384758,soca,Muttenz
Muttenz,47.5269738,7.6558199,mgls,Muttenz
Muttenz ,47.5338563,7.6333891,m,Muttenz
Muttenz ,47.5263912,7.6556813,mm,Muttenz
Männedorf,47.2529296,8.6959795,m,Männedorf
Mézières,46.5963744,6.7698099,dmp,Jorat-Mézières
Möhlin,47.5563791,7.8469474,m,Möhlin
Müllheim,47.6001921,9.0003577,m,Müllheim
Münchenbuchsee ,47.0199113,7.4511193,m,Münchenbuchsee
Münchenstein,47.5258887,7.6038428,soca,Münchenstein
Münchenstein ,47.5215941,7.6069894,mm,Münchenstein
Münchwilen,47.4777001,8.9982661,m,Münchwilen (TG)
Münsingen,46.8731986,7.5601405,mm,Münsingen
Naters,46.3252623,7.9901216,m,Naters
Netstal,47.0621105,9.0540578,soca,Glarus
Neuchâtel ,46.9982008,6.9247704,m,Neuchâtel
Neuchâtel ,46.991987,6.929815,mm,Neuchâtel
Neuchâtel ,47.0040433,6.9553682,m,Hauterive (NE)
Neuchâtel,46.9876942,6.918138,shell,Neuchâtel
Neuenhof,47.4501589,8.3275251,m,Neuenhof
Neuenkirch,47.0981822,8.2050715,dmp,Neuenkirch
Neuhausen am Rheinfall,47.6858485,8.6214126,shell,Neuhausen am Rheinfall
Neunkirch,47.6903787,8.5045443,m,Neunkirch
Neyruz,46.7671371,7.0655105,m,Neyruz (FR)
Nidau,47.1263507,7.2463285,mm,Nidau
Nidau,47.1196079,7.2429925,soca,Nidau
Niederhasli,47.479847,8.485262,m,Niederhasli
Niederurnen,47.1284992,9.0559104,m,Glarus Nord
Noranco,45.9797746,8.9291844,soca,Grancia
Novazzano,45.8451092,8.9643717,pica,Novazzano
Novazzano,45.8451093,8.9643073,pica,Novazzano
Novazzano,45.8395427,8.981303,pica,Novazzano
Noville,46.388792,6.9209862,m,Villeneuve (VD)
Noville,46.3864173,6.9204954,mgls,Rennaz
Nussbaumen ,47.487854,8.2925534,m,Obersiggenthal
Nyon,46.3824876,6.2167268,soca,Eysins
Nyon ,46.3827028,6.2348109,mmm,Nyon
Nyon ,46.3883058,6.2206729,fm,Eysins
Näfels,47.0936714,9.05966,m,Glarus Nord
Oberburg,47.0324969,7.6326438,mgls,Oberburg
Oberengstringen,47.4086394,8.462976,m,Oberengstringen
Oberglatt,47.4702272,8.5106565,mig,Oberglatt
Oberglatt,47.4763679,8.5051151,soca,Oberglatt
Oberkirch,47.1651653,8.1137803,m,Sursee
Obermeilen,47.2654485,8.652638,soca,Meilen
Oberrieden,47.2766939,8.5776055,mig,Oberrieden
Oberriet,47.3158345,9.5634422,m,Oberriet (SG)
Oberwil,47.5099303,7.5546791,mmm,Oberwil (BL)
Oensingen,47.2889751,7.718937,m,Oensingen
Oftringen,47.3125554,7.9213265,mm,Oftringen
Oftringen,47.3051574,7.9308863,shell,Oftringen
Oftringen,47.29749,7.9359853,soca,Zofingen
Oftringen ,47.308499,7.9276772,fm,Oftringen
Olten ,47.3452266,7.9075153,mgls,Olten
Olten ,47.3499928,7.8987827,mm,Olten
Olten ,47.3463482,7.9104394,mm,Olten
Olten ,47.3465494,7.9103665,fm,Olten
Olten ,47.3515901,7.9086432,mig,Olten
Onex,46.1846747,6.1035615,soca,Onex
Opfikon,47.4161074,8.5637435,soca,Opfikon
Opfikon ,47.4212446,8.5579927,mm,Opfikon
Orbe,46.7237876,6.5313631,m,Orbe
Orbe,46.7216848,6.5388544,m,Orbe
Oron,46.5719556,6.8257176,m,Oron
Ostermundigen,46.956966,7.495635,mm,Ostermundigen
Ostermundigen Poststrasse,46.95615,7.4827247,m,Ostermundigen
Othmarsingen,47.4070248,8.2195193,mgls,Othmarsingen
Dietlikon ,47.4121821,8.6191977,spez,Dietlikon
Eglisau,47.5686492,8.5233301,spez,Eglisau
Romanel,46.5738718,6.6061476,spez,Romanel-sur-Lausanne
Winterthur,47.4959879,8.7503749,spez,Winterthur
Payerne,46.8201631,6.9396282,mm,Payerne
Payerne,46.8196551,6.9397961,mig,Payerne
Peseux,46.9859094,6.8895441,mm,Milvignes
Pfungen,47.5172846,8.6500909,m,Pfungen
Pfungen,47.5186335,8.6501686,fm,Pfungen
Pfäffikon ,47.2005836,8.7927006,mm,Freienbach
Pfäffikon (ZH),47.3686343,8.7812381,mm,Pfäffikon
Pfäffikon (ZH),47.3669849,8.7848528,mig,Pfäffikon
Plaffeien,46.7397917,7.2910651,m,Plaffeien
Plan,46.1674266,6.1148529,mm,Plan-les-Ouates
Plan,46.1648588,6.11076,mgls,Plan-les-Ouates
Pontaise,46.530315,6.6284723,dmp,Lausanne
Ponte Cremenaga,45.9929238,8.788448,pica,Astano
Porrentruy,47.4164582,7.0771359,mm,Porrentruy
Porrentruy,47.4214043,7.0788305,shell,Porrentruy
Porte de Versoix,46.2744374,6.1674765,mm,Versoix
Pratteln,47.5204545,7.6940945,mm,Pratteln
Pratteln,47.5237214,7.7059835,mgls,Pratteln
Pratteln,47.521259,7.704295,dmp,Pratteln
Pregassona,46.0236673,8.9672005,m,Canobbio
Prilly,46.5332121,6.6077373,m,Prilly
Prilly,46.5274181,6.6027559,soca,Prilly
Prilly ,46.526852,6.6028429,m,Prilly
Prilly ,46.527401,6.6028735,shell,Prilly
Prilly ,46.537932,6.6011857,mgls,Prilly
Préverenges,46.5188722,6.5166645,m,Lonay
Puidoux,46.4922982,6.769391,dmp,Chexbres
Pully,46.5116743,6.6596672,mm,Pully
Rain,47.1269865,8.2496975,m,Rain
Ramsen,47.7067582,8.8206881,dmp,Ramsen
Rapperswil ,47.2290317,8.8205077,mm,Rapperswil-Jona
Rapperswil ,47.2258032,8.818166,m,Rapperswil-Jona
Rebstein,47.3971838,9.5813963,dmp,Rebstein
Regensdorf,47.4374921,8.4744151,mgls,Regensdorf
Regensdorf,47.4380292,8.4735797,soca,Regensdorf
Regensdorf ,47.4313251,8.4691306,mmm,Regensdorf
Reichenburg,47.1730561,8.9691015,m,Reichenburg
Reiden,47.2484269,7.9715113,m,Reiden
Reiden ,47.247006,7.9578136,spez,Reiden
Reinach,47.2591663,8.1847692,mgls,Reinach (AG)
Reinach ,47.5022541,7.5964432,mm,Reinach (BL)
Reinach ,47.4926693,7.5944243,m,Reinach (BL)
Reinach (AG),47.2578265,8.1816799,mm,Reinach (AG)
Reinach BL,47.4894532,7.5983027,mgls,Reinach (BL)
Reinach,47.4887274,7.5963235,fm,Reinach (BL)
Relais du St.Bernard,46.1264947,7.0605196,shell,Vernayaz
Renens,46.5339363,6.5852658,mgls,Renens (VD)
Renens ,46.5309348,6.5977745,m,Prilly
Renens ,46.5385453,6.580878,mm,Renens (VD)
Renens Quai Ouest,46.5377156,6.5772597,m,Renens (VD)
Renens Silo,46.5333413,6.5856489,m,Renens (VD)
Rheineck,47.4684353,9.5886584,m,Rheineck
Rheinfall,47.692882,8.6233955,soca,Schaffhausen
Rheinfelden,47.555335,7.7982876,mm,Rheinfelden
Riazzino,46.1752568,8.8895944,m,Lavertezzo
Richterswil,47.2063902,8.7053798,m,Richterswil
Riehen ,47.5852499,7.6519616,mm,Riehen
Riehen ,47.5754561,7.6468453,dmp,Riehen
Riehen ,47.569669,7.6332176,dmp,Riehen
Rolle,46.4611,6.3383807,mm,Rolle
Rolle,46.4627709,6.3350193,mgls,Rolle
Romanel,46.5590513,6.6130138,mmm,Romanel-sur-Lausanne
Romanshorn,47.5651688,9.3781482,mig,Romanshorn
Romanshorn ,47.5646479,9.3674826,mm,Salmsach
Romont,46.6926707,6.9126508,mm,Romont (FR)
Rorschach ,47.4740862,9.4950791,m,Rorschach
Rorschach ,47.4778206,9.4889596,mm,Rorschach
Rothenburg,47.0946381,8.2450217,fm,Rothenburg
Rothrist,47.3066918,7.8866601,m,Rothrist
Rothrist,47.3116536,7.8953841,mgls,Aarburg
Rotkreuz,47.1411731,8.4287677,m,Risch
Rotkreuz,47.1476159,8.4345645,shell,Risch
Ruopigen Zentrum Luzern,47.0622438,8.2740577,m,Emmen
Ruswil,47.0884106,8.1127902,m,Ruswil
Réchy,46.2617504,7.4944589,dmp,Chalais
Rümlang,47.4618798,8.5241895,shell,Rümlang
Rümlang Hofwisencenter,47.4509866,8.537906,m,Rümlang
Rüschlikon Parkside,47.3010372,8.5488346,m,Rüschlikon
Rüti (ZH),47.2581252,8.8489703,mm,Rüti (ZH)
Rüti (ZH),47.2530884,8.85329,fm,Rüti (ZH)
Frauenfeld,47.56133,8.889193,soca,Frauenfeld
Kölliken,47.3298799,8.0303425,soca,Kölliken
Gambarogno,46.15173,8.915083,soca,Cugnasco-Gerra
Saas Fee,46.1085428,7.9281535,m,Saas-Fee
Saignelégier,47.254553,6.9998167,m,Saignelégier
Sainte,46.819495,6.5032791,m,Sainte-Croix
Samedan,46.531044,9.873851,mm,Samedan
Samedan,46.5310064,9.8725017,mig,Samedan
Mesocco,46.4674155,9.1875987,soca,Mesocco
Sant'Antonino,46.1548802,8.9625176,mgls,Cadenazzo
Sargans,47.0456746,9.4450266,mig,Sargans
Sarnen ,46.8967489,8.2494742,mm,Sarnen
Savièse,46.2502976,7.3519659,m,Savièse
Saxon,46.148724,7.1732993,m,Saxon
Schaan,47.1692926,9.5037209,m,Buchs (SG)
Schaffhausen,47.6972995,8.6329323,mta,Schaffhausen
Schaffhausen ,47.7064686,8.6200072,m,Schaffhausen
Schaffhausen ,47.6992534,8.6542202,m,Feuerthalen
Schaffhausen ,47.7029976,8.6453389,soca,Feuerthalen
Schaffhausen ,47.7203,8.664005,mmm,Stetten (SH)
Schaffhausen ,47.6987731,8.6339358,mm,Schaffhausen
Schindellegi,47.1756607,8.7133184,m,Wollerau
Schlieren,47.3986921,8.4474972,mig,Schlieren
Schlieren,47.3963885,8.4403664,soca,Schlieren
Schlieren ,47.3961553,8.4371696,m,Schlieren
Schlieren ,47.40073,8.434955,mm,Schlieren
Schlieren ,47.3986438,8.4468471,m,Schlieren
Schmerikon ,47.2252089,8.9432488,mig,Schmerikon
Schmerikon ,47.2301268,8.9619698,mgls,Schmerikon
Schwarzenburg,46.8177012,7.339902,m,Schwarzenburg
Schwerzenbach,47.3843854,8.6587636,mig,Schwerzenbach
Schöftland,47.3027032,8.0474765,m,Schöftland
Schönbühl ,47.0158434,7.4905873,fm,Moosseedorf
Schönbühl ,47.0169335,7.4923677,mmm,Moosseedorf
Schönenwerd,47.3735275,8.0031216,m,Schönenwerd
Schüpfheim,46.9482657,8.0165859,m,Schüpfheim
Sembrancher,46.0791549,7.1446967,m,Sembrancher
Sementina,46.1822199,8.9920373,m,Sant'Antonino
Sempach Station,47.1169163,8.1993284,m,Neuenkirch
Seon,47.3477982,8.1612469,m,Seon
Seuzach,47.5355288,8.7303174,m,Seuzach
Shell Illnau,47.407036,8.726769,shell,Fehraltorf
Siebnen,47.1761348,8.9076441,mgls,Wangen (SZ)
Sierre,46.292358,7.5291519,mm,Sierre
Sierre Rossfeld,46.2814938,7.5133829,fm,Chalais
Sihlbrugg,47.2173651,8.5765731,mgls,Neuheim
Sins,47.1852946,8.3973587,mgls,Sins
Sion,46.2290537,7.3452206,mgls,Sion
Sion ,46.2358562,7.3595336,m,Sion
Sion ,46.2286124,7.356213,mmm,Sion
Sion ,46.2314201,7.3843456,m,Sion
Sion ,46.2281227,7.3785208,spez,Sion
Sirnach,47.4634678,8.9916638,m,Münchwilen (TG)
Sissach,47.462086,7.816352,mm,Sissach
Pizzamiglio,45.8428056,9.0371612,soca,Vacallo
Solothurn,47.2068855,7.533167,m,Solothurn
Solothurn,47.2114448,7.5238037,shell,Solothurn
Solothurn,47.2112133,7.5446377,m,Zuchwil
Solothurn,47.2113187,7.5261313,m,Solothurn
Spiez ,46.6857824,7.6817159,mm,Spiez
Spreitenbach,47.4218343,8.3676836,mm,Spreitenbach
Spreitenbach ,47.4233238,8.3700585,mmm,Spreitenbach
Spreitenbach,47.4245244,8.3708882,spez,Spreitenbach
Saint-Gingolph,46.38515,6.830586,shell,Port-Valais
Saint-Imier,47.1515265,6.9952813,m,Saint-Imier
Saint-Maurice,46.2147953,7.0052498,m,Saint-Maurice
St. Gallen ,47.4100595,9.3354232,m,Gaiserwald
St. Gallen ,47.4204665,9.3536906,m,Gaiserwald
St. Gallen ,47.4352582,9.3862519,m,St. Gallen
St. Gallen ,47.4372078,9.4050204,m,St. Gallen
St. Gallen ,47.4221431,9.3705537,mmm,St. Gallen
St. Gallen ,47.4351257,9.4020661,mgls,St. Gallen
St. Gallen ,47.4311418,9.3950643,m,St. Gallen
St. Gallen ,47.4252078,9.3782359,m,St. Gallen
St. Gallen ,47.4358241,9.391591,mm,St. Gallen
St. Gallen ,47.4256387,9.3745396,mig,St. Gallen
St. Gallen ,47.4117293,9.3360605,shell,Gaiserwald
St. Gallen ,47.4162391,9.3452081,mgls,Gaiserwald
St. Gallen,47.4230367,9.3695057,mr,St. Gallen
St. Gallen,47.4149328,9.3123033,fm,Gaiserwald
Inwil,47.1194294,8.3744025,soca,Root
Inwil,47.1187123,8.3749711,soca,Root
St. Margrethen ,47.4551321,9.6382129,mgls,St. Margrethen
St. Margrethen ,47.4501472,9.6513499,mmm,St. Margrethen
St. Moritz,46.497821,9.845483,mig,St. Moritz
St. Niklaus,46.1810239,7.8064848,dmp,St. Niklaus
St. Gallen,47.4230672,9.3733977,spez,St. Gallen
Staad,47.4804973,9.5318113,shell,Rorschacherberg
Stabio,45.8485669,8.9364332,m,Stabio
Stabio,45.8441314,8.9223671,pica,Stabio
Stabio,45.8424959,8.919321,pica,Stabio
Stabio,45.8448496,8.9270699,pica,Stabio
Stalden,46.2326654,7.8708057,dmp,Stalden (VS)
Stalden,46.2470999,7.8768003,mgls,Stalden (VS)
Stans,46.9663706,8.3529125,mgls,Stans
Stans ,46.9646845,8.3556565,mmm,Stans
Steckborn,47.6639509,8.9758158,m,Steckborn
Steffisburg,46.7810832,7.6335904,m,Steffisburg
Steffisburg,46.76586,7.6245157,mgls,Thun
Steg,46.3147018,7.7453717,m,Gampel-Bratsch
Steg,46.3062985,7.750871,mgls,Steg-Hohtenn
Stein,47.5492231,7.9544805,m,Stein (AG)
Stein,47.5476265,7.9535086,shell,Stein (AG)
Stein am Rhein,47.6514436,8.8526236,m,Stein am Rhein
Steinhausen ,47.1920625,8.4777745,mmm,Steinhausen
Steinhausen ,47.1970572,8.4846747,m,Steinhausen
Stäfa,47.2406714,8.7234301,mm,Stäfa
Stäfa,47.2407708,8.7148207,soca,Stäfa
Sugiez,46.9665241,7.1238781,mgls,Mont-Vully
Suhr,47.3717739,8.0821995,mig,Suhr
Suhr ,47.3697291,8.0811156,spez,Suhr
Suhr ,47.3732376,8.0816706,m,Suhr
Sulgen,47.5324881,9.1884781,mig,Sulgen
Sulgen ,47.5401419,9.1829867,m,Sulgen
Sursee,47.1736868,8.1000927,mgls,Sursee
Sursee,47.1728531,8.1021962,mmm,Sursee
Sursee,47.1724395,8.1011326,fm,Sursee
Susten,46.3114821,7.6407791,dmp,Leuk
Taesch,46.0709528,7.77679,dmp,Täsch
Tavannes,47.21932,7.1978861,m,Tavannes
Tavannes,47.223466,7.2035769,shell,Tavannes
Taverne,46.060572,8.9315827,m,Torricella-Taverne
Taverne,46.0593998,8.9304134,fm,Torricella-Taverne
Tenero,46.1795605,8.8517014,m,Tenero-Contra
Tesserete,46.0675557,8.9669567,m,Capriasca
Teufen,47.3907355,9.3908514,m,Teufen (AR)
Thal,47.4795373,9.5771551,m,Thal
Thalwil,47.2941879,8.5640824,mm,Thalwil
Thayngen,47.7488083,8.7067801,m,Thayngen
Thayngen,47.7404286,8.7147398,mgls,Thayngen
Therwil,47.499527,7.5536596,dmp,Therwil
Therwil,47.4966992,7.5643512,shell,Therwil
Thierrens,46.7044032,6.7550064,dmp,Montanaire
Thoiry,46.2286354,5.9941326,mmm,Dardagny
Thun,46.7542958,7.6275516,shell,Thun
Thun ,46.7601164,7.6266358,mm,Thun
Thun ,46.7450418,7.6261582,m,Thun
Thun ,46.7447598,7.614778,mmm,Thun
Thun ,46.7441475,7.6053619,fm,Thun
Thun ,46.7449484,7.6076245,mgls,Thun
Thusis ,46.6944915,9.4398532,mm,Thusis
Thônex,46.1930274,6.1996185,mm,Chêne-Bourg
Thônex,46.1986526,6.2128684,shell,Thônex
Tramelan,47.2234176,7.0997558,m,Tramelan
Triesen,47.108894,9.525209,m,Sevelen
Trübbach,47.0750277,9.4862183,mgls,Wartau
Turbenthal,47.4385237,8.8445994,m,Turbenthal
Tägerwilen,47.6538552,9.1419927,m,Tägerwilen
Uetendorf,46.7739279,7.5741096,m,Uetendorf
Uitikon,47.3687168,8.4616665,m,Uitikon
Unterentfelden,47.3619645,8.0456204,mm,Unterentfelden
Unterwetzikon,47.3135,8.795556,m,Wetzikon (ZH)
Unterägeri,47.1380428,8.579203,m,Unterägeri
Urdorf ,47.3848945,8.4223769,m,Urdorf
Uster,47.3521726,8.7226744,shell,Uster
Uster ,47.349891,8.7152446,mmm,Uster
Uster,47.3542567,8.7136066,fm,Uster
Utzenstorf ,47.1284908,7.5585845,m,Utzenstorf
Uznach ,47.2264591,8.9806843,mm,Uznach
Uzwil ,47.436874,9.133884,mm,Uzwil
Aarburg,47.320554,7.9071351,voi,Aarburg
Aarwangen,47.2362174,7.7718237,voi,Aarwangen
Alpnach,46.939833899999996,8.2709654,voi,Alpnach
Baden,47.4673446,8.2932847,voi,Baden
Bern,46.9453512,7.3902179,voi,Köniz
Bern,46.9413645,7.4185558,voi,Köniz
Bern,46.9481109,7.4497459,voi,Bern
Bern,46.9453775,7.4629318,voi,Bern
Bern,46.9264088,7.433499,voi,Köniz
Bern,46.9536364,7.4545541,voi,Bern
Beromünster,47.209729,8.1917754,voi,Beromünster
Bettlach,47.1993568,7.426077,voi,Bettlach
Biel/Bienne,47.1454026,7.2632867,voi,Biel/Bienne
Biel/Bienne,47.1426268,7.2721353,voi,Brügg
Boll,46.9546925,7.5479454,voi,Vechigen
Brügg,47.1239464,7.2804096,voi,Brügg
Buchs (ZH),47.4563902,8.4396784,voi,Buchs (ZH)
Büron,47.2136699,8.0944046,voi,Büron
Dulliken,47.354143,7.9345418,voi,Starrkirch-Wil
Genève,46.2010565,6.1397642,voi,Genève
Geroldswil,47.4215795,8.4117228,voi,Geroldswil
Gland,46.4232158,6.2617789,voi,Gland
Grindelwald,46.6236074,8.0391045,voi,Grindelwald
Horgen,47.2548701,8.6119618,voi,Horgen
Ins,47.0042581,7.1070561,voi,Ins
Jegenstorf,47.051416,7.5103611,voi,Jegenstorf
Kappel,47.3236429,7.8468992,voi,Kappel (SO)
Kilchberg,47.3245116,8.5480624,voi,Kilchberg (ZH)
Lengnau,47.1808069,7.3631011,voi,Lengnau (BE)
Meyrin,46.2309568,6.0668592,voi,Meyrin
Niederbipp,47.2698326,7.6926322,voi,Niederbipp
Niedergösgen,47.3717743,7.9936894,voi,Niedergösgen
Niederlenz,47.3990619,8.1777989,voi,Niederlenz
Niederrohrdorf,47.4250876,8.30086,voi,Niederrohrdorf
Roggwil,47.2393252,7.8218895,voi,Roggwil (BE)
Rombach,47.401845,8.0448105,voi,Aarau
Rümlang,47.4497963,8.5315694,voi,Rümlang
Safenwil,47.321305,7.9851441,voi,Safenwil
Schwerzenbach,47.3851497,8.6589504,voi,Schwerzenbach
Seengen,47.3249241,8.2036078,voi,Seengen
Sempach,47.1362307,8.1920443,voi,Sempach
Siebnen,47.1753754,8.9004331,voi,Wangen (SZ)
Stans,46.9565347,8.366329,voi,Stans
Steffisburg,46.773617,7.6161447,voi,Thun
Strengelbach,47.2784744,7.9286,voi,Strengelbach
Studen,47.1142052,7.3011494,voi,Studen (BE)
Sumiswald,47.0288821,7.7463868,voi,Sumiswald
Trimbach,47.3623369,7.8988859,voi,Trimbach
Unterkulm,47.310751,8.1136799,voi,Unterkulm
Wabern,46.9286391,7.4523149,voi,Bern
Wallisellen,47.41978,8.597648,voi,Wallisellen
Wangen an der Aare,47.23393,7.6554199,voi,Wangen an der Aare
Wichtrach,46.850993,7.5753497,voi,Wichtrach
Wilderswil,46.6660645,7.8690846,voi,Wilderswil
Zürich,47.3963402,8.4863988,voi,Oberengstringen
Zürich,47.3952404,8.5184213,voi,Zürich
Zürich,47.3705108,8.4928295,voi,Wettswil am Albis
Zürich,47.3297396,8.5153194,voi,Adliswil
Zürich,47.3347241,8.5294762,voi,Kilchberg (ZH)
Zürich,47.3599907,8.5939597,voi,Zollikon
Vacallo,45.8432895,9.0372212,pica,Vacallo
Vallorbe,46.7117213,6.3777456,m,Vallorbe
Verbano,46.1749888,8.8172485,shell,Minusio
Verbier,46.0966164,7.2232795,m,Val de Bagnes
Vernier,46.2213008,6.077728,mgls,Meyrin
Vernier ,46.2167048,6.0833327,m,Vernier
Vernier ,46.2170639,6.0869554,spez,Vernier
Versoix,46.2797694,6.1658024,mig,Versoix
Vevey ,46.4636235,6.8401817,mm,Vevey
Vevey ,46.464429,6.8421961,m,Vevey
Vezia,46.0212226,8.9366277,pica,Vezia
Villars,46.5663916,6.5589149,mgls,Villars-Sainte-Croix
Villars,46.7937778,7.1335773,m,Villars-sur-Glâne
Villars,46.7988222,7.1228992,mgls,Villars-sur-Glâne
Villars,46.2988399,7.0547167,dmp,Ollon
Vionnaz,46.3135922,6.8985242,dmp,Vionnaz
Visp,46.2929559,7.8798626,mm,Visp
Volketswil,47.3884116,8.6805761,mm,Volketswil
Volketswil,47.3807417,8.6740561,mgls,Schwerzenbach
Volketswil,47.3800454,8.6752451,fm,Greifensee
Vétroz,46.2154523,7.259816,dmp,Ardon
Wabern ,46.922607,7.4597626,mm,Kehrsatz
Wald,47.2737533,8.9118624,shell,Wald (ZH)
Wald,47.2748553,8.9147079,m,Wald (ZH)
Walenstadt,47.1219487,9.3135977,m,Walenstadt
Walke,47.392741,9.2977832,m,Herisau
Wallisellen,47.4134998,8.5916082,m,Wallisellen
Wallisellen,47.4084534,8.5960556,mmm,Wallisellen
Wallisellen,47.4081074,8.6019195,mgls,Wallisellen
