Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Dulliken,47.35372306,7.94571089,07:30 - 18:30,Coop Supermarkt Dulliken,4657
Château-d'Oex,46.47402142,7.13347525,08:00 - 19:00,Coop Supermarché Château-d'Oex,1660
Genève,46.19475193,6.15221969,07:30 - 19:00,Coop Supermarché Genève Champel,1206
Genève,46.19322645,6.16125926,08:00 - 19:00,Coop Supermarché Genève Florissant,1206
Lausanne,46.51530766,6.63159826,07:30 - 19:00,Coop Supermarché Lausanne Grancy,1006
Aigle,46.31896721,6.96517355,07:30 - 18:30,Coop Supermarché Aigle,1860
Saint-Prex,46.48232753,6.4569267,07:30 - 19:00,Coop Supermarché Saint-Prex,1162
Küssnacht am Rigi,47.08237064,8.43960478,08:00 - 20:00,Coop Supermarkt Küssnacht am Rigi,6403
Altdorf,46.88093319,8.64572762,07:30 - 18:30,Coop Supermarkt Altdorf,6460
Oberriet,47.32350396,9.56891189,07:30 - 19:00,Coop Supermarkt Oberriet,9463
Romanshorn,47.56354355,9.37723855,08:00 - 20:00,Coop Supermarkt Romanshorn,8590
Wattwil,47.30320385,9.08631061,07:30 - 19:00,Coop Supermarkt Wattwil,9630
Amriswil,47.54738854,9.30198635,08:00 - 20:00,Coop Supermarkt Amriswil,8580
Thusis,46.69791661,9.439965,08:00 - 20:00,Coop Supermarkt Thusis,7430
Gränichen,47.35867786,8.09897807,07:30 - 20:00,Coop Supermarkt Gränichen,5722
Windisch,47.47444776,8.21325647,08:00 - 19:00,Coop Supermarkt Windisch Hauserstrasse,5200
Suhr,47.37429743,8.07731065,07:30 - 20:00,Coop Supermarkt Suhr,5034
Seon,47.34761615,8.16171839,07:30 - 20:00,Coop Supermarkt Seon,5703
Niederrohrdorf,47.42338799,8.30535488,08:00 - 20:00,Coop Supermarkt Niederrohrdorf,5443
Küttigen,47.41510205,8.04799774,07:30 - 19:00,Coop Supermarkt Küttigen,5024
Ehrendingen,47.49435384,8.34088447,08:00 - 20:00,Coop Supermarkt Ehrendingen,5420
Lausen,47.47294682,7.758691,08:00 - 19:00,Coop Supermarkt Lausen,4415
Basel,47.54959887,7.60670073,07:00 - 19:00,Coop Supermarkt Basel Hardstrasse,4052
Allschwil,47.55142254,7.5381832,07:30 - 19:00,Coop Supermarkt Allschwil Dorf,4123
Reinach,47.506141,7.59982085,08:00 - 19:00,Coop Supermarkt Reinach Surbaum,4153
Allschwil,47.55852502,7.55986687,07:30 - 19:00,Coop Supermarkt Allschwil Lindenplatz,4123
Basel,47.55639833,7.57183275,07:30 - 20:00,Coop Supermarkt Basel Allschwilerstrasse,4055
Grellingen,47.44173935,7.58939205,08:00 - 19:00,Coop Supermarkt Grellingen,4203
Basel,47.54788522,7.59056845,06:00 - 22:00,Coop Supermarkt Basel Bahnhof SBB,4051
Bellinzona,46.20224002,9.03082765,08:00 - 19:00,Coop Supermercato Bellinzona Nord,6500
Roveredo,46.23743294,9.12729376,08:00 - 19:00,Coop Supermercato Roveredo GR,6535
Breganzona,46.01281614,8.93301618,08:00 - 19:00,Coop Supermercato Lugano Breganzona,6932
Tesserete,46.06852221,8.96821415,08:00 - 19:00,Coop Supermercato Tesserete,6950
Caslano,45.97368146,8.87969871,08:00 - 19:00,Coop Supermercato Caslano,6987
Solduno,46.16928981,8.78104074,08:00 - 19:00,Coop Supermercato Locarno Solduno,6604
Melide,45.95516576,8.94819719,08:00 - 19:00,Coop Supermercato Melide,6815
Bellinzona,46.18375662,9.01239814,07:00 - 22:00,Coop Supermercato Bellinzona PY,6500
Lengnau,47.18191054,7.36652064,07:00 - 19:00,Coop Supermarkt Lengnau,2543
Ins,47.0058872,7.10396188,07:00 - 19:00,Coop Supermarkt Ins,3232
Bern,46.94109845,7.43147577,07:00 - 20:00,Coop Supermarkt Bern Eigerplatz,3007
Tafers,46.81573001,7.21660158,07:00 - 18:30,Coop Supermarkt Tafers,1712
Busswil b. Büren,47.09953323,7.32093637,07:00 - 19:00,Coop Supermarkt Busswil,3292
Ostermundigen,46.9592886,7.50034364,07:00 - 20:00,Coop Supermarkt Ostermundigen Rütiweg,3072
Schönbühl,47.0204935,7.49804556,06:30 - 19:00,Coop Supermarkt Schönbühl Dorf,3322
Schüpfen,47.04103789,7.37897388,07:00 - 19:00,Coop Supermarkt Schüpfen,3054
Signau,46.92256246,7.7287124,08:00 - 18:30,Coop Supermarkt Signau,3534
Bern,46.93947953,7.43697878,07:00 - 19:00,Coop Supermarkt Bern Sulgenbach,3007
Fraubrunnen,47.08522509,7.52365285,07:00 - 19:00,Coop Supermarkt Fraubrunnen,3312
Lützelflüh,47.00532301,7.68442459,08:00 - 19:00,Coop Supermarkt Lützelflüh,3432
Oberburg,47.03696254,7.63079541,08:00 - 19:00,Coop Supermarkt Oberburg,3414
Bévilard-Malleray,47.2378943,7.27809069,07:30 - 19:00,Coop Supermarché Bévilard-Malleray,2735
Neuchâtel,46.98820848,6.90985808,07:30 - 19:00,Coop Supermarché Neuchâtel Vauseyon,2000
Saint-Blaise,47.01347432,6.98474571,07:30 - 19:00,Coop Supermarché Saint-Blaise,2072
Fleurier,46.90233529,6.5827702,07:30 - 19:00,Coop Supermarché Fleurier,2114
Bevaix,46.92895694,6.81227397,07:30 - 19:00,Coop Supermarché Bevaix,2022
La Neuveville,47.06383187,7.09660845,07:30 - 19:00,Coop Supermarché La Neuveville,2520
Thun,46.75348157,7.61511373,07:00 - 19:00,Coop Supermarkt Thun Schönau,3600
Heimberg,46.78342822,7.6088734,08:00 - 19:00,Coop Supermarkt Heimberg Aarestrasse,3627
Wimmis,46.67563156,7.63800495,08:00 - 18:30,Coop Supermarkt Wimmis,3752
Matten b. Interlaken,46.68064551,7.86623635,08:00 - 20:00,Coop Supermarkt Matten,3800
Zürich,47.38976222,8.47200362,07:30 - 20:00,Coop Supermarkt Zürich Suteracher,8048
Zürich,47.40770951,8.54929478,07:00 - 20:00,Coop Supermarkt Zürich Dorflinde,8050
Glarus,47.04017047,9.06960813,07:30 - 19:00,Coop Supermarkt Glarus,8750
Männedorf,47.25544663,8.68973515,07:00 - 20:00,Coop Supermarkt Männedorf,8708
Glattfelden,47.55685892,8.502775,07:30 - 20:00,Coop Supermarkt Glattfelden,8192
Kloten,47.45315844,8.58097073,08:00 - 20:00,Coop Supermarkt Kloten Center,8302
Dietlikon,47.42192683,8.61866999,07:30 - 20:00,Coop Supermarkt Dietlikon Bahnhofstrasse,8305
Herrliberg,47.28623778,8.61285349,07:30 - 20:00,Coop Supermarkt Herrliberg,8704
