Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Sirnach,47.46287334,8.99635667,08:00 - 19:00,Coop Supermarkt Sirnach,8370
Tägerwilen,47.65653257,9.13323139,08:00 - 20:00,Coop Supermarkt Tägerwilen,8274
Embrach,47.51107194,8.59420456,07:30 - 20:00,Coop Supermarkt Embrach,8424
Chur,46.85910014,9.52682223,07:30 - 20:00,Coop Supermarkt Chur Tittwiesen,7000
Sevelen,47.12257785,9.48995492,07:30 - 19:00,Coop Supermarkt Sevelen,9475
Churwalden,46.77925176,9.54421335,08:00 - 19:00,Coop Supermarkt Churwalden,7075
Pontresina,46.48867605,9.90594488,08:00 - 19:00,Coop Supermarkt Pontresina,7504
Sargans,47.04739648,9.44072742,07:00 - 19:00,Coop Supermarkt Sargans,7320
Chur,46.85761953,9.52017951,07:30 - 20:00,Coop Supermarkt Chur Kurfirsten,7000
Ebnat-Kappel,47.2654344,9.12131866,07:30 - 19:00,Coop Supermarkt Ebnat-Kappel,9642
Brugg,47.48227256,8.20927052,08:00 - 20:00,Coop Supermarkt Brugg Neumarkt,5200
Oberwil,47.51449308,7.55785536,07:00 - 20:00,Coop Supermarkt Oberwil Bahnhofstrasse,4104
Binningen,47.53992959,7.57274804,07:30 - 19:00,Coop Supermarkt Binningen,4102
Basel,47.5552097,7.61373342,07:30 - 20:00,Coop Supermarkt Basel Breite,4052
Oberdorf,47.39441817,7.74866973,08:00 - 19:00,Coop Supermarkt Oberdorf,4436
Riehen,47.58505295,7.65060106,07:00 - 19:00,Coop Supermarkt Riehen Schmiedgasse,4125
Arlesheim,47.49502985,7.62046315,08:00 - 20:00,Coop Supermarkt Arlesheim,4144
Basel,47.56596005,7.56232884,07:30 - 19:00,Coop Supermarkt Basel Michelbacher,4055
Basel,47.57677244,7.59100955,07:30 - 20:00,Coop Supermarkt Basel Wiesenplatz,4057
Kaiseraugst,47.53822418,7.73202997,08:30 - 20:00,Coop Supermarkt Kaiseraugst,4303
Laufenburg,47.55963001,8.06008619,08:00 - 19:00,Coop Supermarkt Laufenburg,5080
Therwil,47.49911672,7.55450297,08:00 - 19:00,Coop Supermarkt Therwil,4106
Dornach,47.48867079,7.60879114,08:00 - 18:30,Coop Supermarkt Dornach,4143
Bellinzona,46.1947129,9.02480311,07:30 - 19:00,Coop Supermercato Bellinzona Centro,6500
Taverne,46.06193774,8.92917859,07:30 - 19:00,Coop Supermercato Taverne,6807
Wabern,46.92854077,7.45045086,08:00 - 20:00,Coop Supermarkt Wabern,3084
Bolligen,46.97392587,7.49657534,08:00 - 19:00,Coop Supermarkt Bolligen,3065
Büren an der Aare,47.13979401,7.37774318,07:00 - 19:00,Coop Supermarkt Büren,3294
Bern,46.94540258,7.47275753,08:00 - 19:00,Coop Supermarkt Bern Freudenberg,3006
Liebefeld,46.93035782,7.42826002,08:00 - 19:00,Coop Supermarkt Köniz Steinhölzli,3097
Steffisburg,46.77576102,7.63332117,08:00 - 19:00,Coop Supermarkt Steffisburg,3612
Spiez,46.6894491,7.67574465,08:00 - 19:00,Coop Supermarkt Spiez,3700
Frutigen,46.58727985,7.64707453,07:30 - 19:00,Coop Supermarkt Frutigen,3714
Regensdorf,47.43138157,8.4690209,08:00 - 20:00,Coop Supermarkt Regensdorf Zentrum,8105
Dietikon,47.40374689,8.40259925,07:00 - 21:00,Coop Supermarkt Dietikon Florastrasse,8953
Birmensdorf,47.35381423,8.43661346,07:30 - 20:00,Coop Supermarkt Birmensdorf,8903
Dübendorf,47.39732811,8.61661453,07:30 - 20:00,Coop Supermarkt Dübendorf Center,8600
Zürich,47.36660644,8.54786884,06:00 - 22:00,Coop Supermarkt Zürich Stadelhofen,8001
Zürich,47.36435252,8.55493151,07:30 - 21:00,Coop Supermarkt Zürich Kreuzplatz,8008
Hinwil,47.2991296,8.83766113,08:00 - 20:00,Coop Supermarkt Hinwil Hiwi-Märt,8340
Trimbach,47.36153212,7.9002339,07:30 - 18:30,Coop Supermarkt Trimbach,4632
Olten,47.34674825,7.92147921,07:30 - 18:30,Coop Supermarkt Olten Wilerfeld,4600
Egerkingen,47.32147558,7.79474124,08:00 - 12:30 13:30 - 18:30,Coop Supermarkt Egerkingen Dorf,4622
Gerlafingen,47.1710705,7.57305384,07:00 - 18:30,Coop Supermarkt Gerlafingen,4563
Solothurn,47.20725044,7.53383696,08:00 - 18:30,Coop Supermarkt Solothurn Westring,4500
Balsthal,47.3165866,7.69475769,08:00 - 18:30,Coop Supermarkt Balsthal,4710
Solothurn,47.20809136,7.51587396,08:00 - 18:30,Coop Supermarkt Solothurn Brühl,4500
Bellach,47.21265387,7.49659526,08:00 - 18:30,Coop Supermarkt Bellach,4512
Carouge,46.18523964,6.14411526,07:30 - 19:00,Coop Supermarché Carouge Cardinal Mermillod,1227
Le Lignon,46.20351784,6.09612431,07:30 - 19:00,Coop Supermarché Le Lignon,1219
Nyon,46.38807796,6.22873349,07:30 - 19:00,Coop Supermarché Nyon Levratte,1260
Pully,46.51058193,6.6582108,07:30 - 19:00,Coop Supermarché Pully,1009
Lausanne,46.52940555,6.63048842,08:00 - 19:00,Coop Supermarché Lausanne Pontaise,1018
Luzern,47.04639712,8.30702688,07:00 - 19:00,Coop Supermarkt Luzern Winkelried,6000
Littau,47.05104427,8.27109232,07:30 - 19:00,Coop Supermarkt Littau,6014
Erstfeld,46.82431929,8.64904611,07:30 - 18:30,Coop Supermarkt Erstfeld,6472
Schüpfheim,46.94712881,8.00920933,07:30 - 19:00,Coop Supermarkt Schüpfheim,6170
Triengen,47.23770058,8.07447634,07:30 - 19:00,Coop Supermarkt Triengen,6234
Münchwilen,47.47928224,8.99560337,07:00 - 20:00,Coop Supermarkt Münchwilen,9542
Bad Ragaz,47.00333306,9.50216721,07:30 - 19:00,Coop Supermarkt Bad Ragaz,7310
Mels,47.04731902,9.4208075,07:30 - 19:00,Coop Supermarkt Mels Dorf,8887
Basel,47.53422013,7.59314601,07:30 - 18:30,Coop Supermarkt Basel Hauenstein,4059
Basel,47.56733367,7.60105565,07:30 - 18:30,Coop Supermarkt Basel Mattenstrasse,4058
Bosco Gurin,46.31630424,8.49251322,09:00 - 12:00 15:00 - 18:00,Coop Supermercato Bosco Gurin,6685
Castione,46.2232493,9.04733519,08:00 - 19:00,Coop Supermercato Castione,6532
Bern,46.9538985,7.42871546,08:00 - 20:00,Coop Supermarkt Bern Muesmatt,3012
La Chaux-de-Fonds,47.09559609,6.83027878,07:30 - 19:00,Coop Supermarché La Chaux-de-Fonds Piscine,2300
Sigriswil,46.71793343,7.71407497,07:30 - 18:30,Coop Supermarkt Sigriswil,3655
Zürich,47.38471184,8.52726667,07:00 - 21:00,Coop Supermarkt Zürich Josefstrasse,8005
Kilchberg,47.3231126,8.54900138,07:00 - 20:00,Coop Supermarkt Kilchberg,8802
Zürich,47.37640455,8.55972604,07:30 - 21:00,Coop Supermarkt Zürich Fluntern,8044
Zollikon,47.3369115,8.57668003,07:00 - 21:00,Coop Supermarkt Zollikon,8702
Glattbrugg,47.4284025,8.56371103,07:00 - 20:00,Coop Supermarkt Opfikon,8152
Grimisuat,46.26161146,7.38781043,07:30 - 18:30,Coop Supermarché Grimisuat,1971
Treyvaux,46.72732796,7.13694481,07:00 - 18:30,Coop Supermarché Treyvaux,1733
Confignon,46.17473045,6.08357237,08:00 - 19:00,Coop Supermarché Confignon,1232
Lausanne,46.51395963,6.64713801,07:30 - 19:00,Coop Supermarché Lausanne Chissiez,1006
Cully,46.4881232,6.72868502,08:00 - 19:00,Coop Supermarché Cully,1096
Celerina,46.51321626,9.86221684,08:00 - 12:15 14:00 - 18:30,Coop Supermarkt Celerina,7505
Waldstatt,47.35746202,9.28472718,07:30 - 19:00,Coop Supermarkt Waldstatt,9104
Rohr,47.40191818,8.08084757,07:30 - 20:00,Coop Supermarkt Rohr,5032
Neuenhof,47.44915328,8.32847562,08:00 - 19:00,Coop Supermarkt Neuenhof,5432
Othmarsingen,47.40074835,8.2156557,08:00 - 19:00,Coop Supermarkt Othmarsingen,5504
Basel,47.57033411,7.60986274,07:30 - 19:00,Coop Supermarkt Basel Schorenweg,4058
Basel,47.55180395,7.5624023,07:30 - 18:30,Coop Supermarkt Basel Wanderstrasse,4054
Dongio,46.43957407,8.95296641,08:00 - 12:00 14:00 - 19:00,Coop Supermercato Dongio,6715
Mesocco,46.39135803,9.23337138,08:00 - 12:00 14:30 - 19:00,Coop Supermercato Mesocco,6563
Malvaglia,46.41237757,8.97750971,08:00 - 19:00,Coop Supermercato Malvaglia,6713
Bissone,45.95389659,8.96556331,07:00 - 22:00,Coop Supermercato Bissone PY,6816
Biel,47.12670256,7.25547991,07:00 - 19:00,Coop Supermarkt Biel Moserstrasse,2503
Thun,46.74348979,7.59492905,07:00 - 19:00,Coop Supermarkt Allmendingen,3608
Thun,46.76456749,7.60059314,07:00 - 19:00,Coop Supermarkt Thun Lerchenfeld,3603
Hünibach,46.7457162,7.64345911,07:30 - 19:00,Coop Supermarkt Hünibach,3626
Reichenbach,46.6251979,7.69057041,08:00 - 18:30,Coop Supermarkt Reichenbach,3713
Kandersteg,46.4948534,7.67310912,08:00 - 18:30,Coop Supermarkt Kandersteg,3718
Mürren,46.5596186,7.8937222,08:00 - 18:30,Coop Supermarkt Mürren,3825
Zürich,47.37711839,8.52647584,07:00 - 22:00,Coop Supermarkt Zürich Hohlstrasse,8004
Zürich,47.41378276,8.4795595,08:00 - 20:00,Coop Supermarkt Zürich Rütihof,8049
Küsnacht,47.32704729,8.60156712,Closed,Coop Supermarkt Küsnacht Itschnach,8700
Zollikerberg,47.34612333,8.60186438,07:00 - 20:00,Coop Supermarkt Zollikerberg,8125
Zürich,47.36782128,8.56084309,07:00 - 21:00,Coop Supermarkt Zürich Römerhof,8032
Wiedlisbach,47.25285632,7.64748911,08:00 - 19:00,Coop Supermarkt Wiedlisbach,4537
Madiswil,47.16602606,7.79845641,08:00 - 19:00,Coop Supermarkt Madiswil,4934
Grimentz,46.17505768,7.57342493,08:00 - 18:30,Coop Supermarché Grimentz,3961
Thierrens,46.70344617,6.75443292,07:30 - 19:00,Coop Supermarché Thierrens,1410
Saint-Ursanne,47.36553045,7.1548264,07:30 - 18:30,Coop Supermarché Saint-Ursanne,2882
Cortaillod,46.94369648,6.84526793,08:00 - 19:00,Coop Supermarché Cortaillod,2016
Genève,46.20397855,6.12454385,07:30 - 19:00,Coop Supermarché Genève Saint-Jean,1203
Meyrin,46.22835347,6.07250028,07:30 - 19:00,Coop Supermarché Meyrin Verchère,1217
Petit-Lancy,46.19011727,6.11938644,07:30 - 19:00,Coop Supermarché Petit-Lancy,1213
Lausanne,46.51603232,6.61353914,07:30 - 19:00,Coop Supermarché Lausanne Cour,1007
Le Mont-sur-Lausanne,46.55407791,6.63494448,07:30 - 19:00,Coop Supermarché Le Mont-sur-Lausanne,1052
Göschenen,46.66894863,8.58658148,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Göschenen,6487
Urnäsch,47.31651705,9.28193397,07:30 - 19:00,Coop Supermarkt Urnäsch,9107
Felsberg,46.84577728,9.47876309,08:00 - 12:15 14:00 - 19:00,Coop Supermarkt Felsberg,7012
St. Moritz,46.49881767,9.83885606,08:00 - 19:00,Coop Supermarkt St. Moritz-Dorf,7500
Basel,47.56021673,7.56736456,07:30 - 20:00,Coop Supermarkt Basel Helvetiaplatz,4055
Basel,47.55959043,7.58718697,06:30 - 20:00,Coop Supermarkt Basel Fischmärt,4051
Nunningen,47.39369257,7.62040991,08:00 - 18:30,Coop Supermarkt Nunningen,4208
Cevio,46.31842642,8.60197512,08:00 - 19:00,Coop Supermercato Cevio,6675
Claro,46.25278437,9.02274681,08:00 - 19:00,Coop Supermercato Claro,6702
Schliern,46.90992735,7.4150463,08:00 - 19:00,Coop Supermarkt Köniz Schliern,3098
Kehrsatz,46.91080714,7.47056988,08:00 - 19:00,Coop Supermarkt Kehrsatz,3122
Niederscherli,46.88544253,7.38831882,07:00 - 19:00,Coop Supermarkt Niederscherli,3145
Rüschegg-Heubach,46.78099583,7.40816372,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Rüschegg Heubach,3154
Toffen,46.86032568,7.49371292,08:00 - 19:00,Coop Supermarkt Toffen,3125
Uettligen,46.98789692,7.38480423,07:00 - 19:00,Coop Supermarkt Uettligen,3043
Bern,46.95637246,7.43202561,08:00 - 19:00,Coop Supermarkt Bern Zähringerstrasse,3012
La Chaux-de-Fonds,47.10378839,6.83492829,07:30 - 19:00,Coop Supermarché La Chaux-de-Fonds Etoile,2300
La Chaux-de-Fonds,47.11064686,6.82885577,07:30 - 19:00,Coop Supermarché La Chaux-de-Fonds Bel-Air,2300
Sonceboz,47.19503952,7.17795522,Closed,Coop Supermarché Sonceboz,2605
Boncourt,47.49514742,7.01473341,07:30 - 18:30,Coop Supermarché Boncourt,2926
Wengen,46.60497543,7.92208887,08:00 - 18:30,Coop Supermarkt Wengen,3823
Pfäffikon,47.20045871,8.77817615,07:00 - 20:00,Coop Supermarkt Pfäffikon SZ Etzelstrasse,8808
Gommiswald,47.23336172,9.02037349,07:30 - 19:00,Coop Supermarkt Gommiswald,8737
Wollerau,47.19515864,8.72308722,07:00 - 20:00,Coop Supermarkt Wollerau,8832
Zürich,47.364954,8.52105088,Closed,Coop Supermarkt Zürich Manessehof,8045
Uster,47.34504996,8.73069552,07:30 - 20:00,Coop Supermarkt Uster Oberuster,8610
Effretikon,47.42679246,8.69223793,07:00 - 20:00,Coop Supermarkt Effretikon Watt,8307
Dietikon,47.39813132,8.41787807,08:00 - 20:00,Coop Supermarkt Dietikon Brunau,8953
Zürich,47.38251785,8.54797484,07:30 - 21:00,Coop Supermarkt Zürich Universitätstrasse,8006
Buchs,47.45773682,8.43825873,07:30 - 20:00,Coop Supermarkt Buchs ZH,8107
Fehraltorf,47.3868471,8.75504746,07:30 - 20:00,Coop Supermarkt Fehraltorf,8320
Zürich,47.42495489,8.53780528,07:30 - 20:00,Coop Supermarkt Zürich Schwellistrasse,8052
Eschenbach,47.24074339,8.91989361,07:30 - 19:00,Coop Supermarkt Eschenbach SG,8733
Au,47.2421928,8.65562195,07:30 - 20:00,Coop Supermarkt Au Wädenswil,8804
Reichenburg,47.16739813,8.98003533,08:00 - 19:00,Coop Supermarkt Reichenburg,8864
Leytron,46.18580553,7.20784148,07:30 - 18:30,Coop Supermarché Leytron,1912
Riddes,46.17238352,7.22139129,07:30 - 18:30,Coop Supermarché Riddes,1908
Evolène,46.10836379,7.50101636,08:00 - 19:00,Coop Supermarché Evolène,1983
Fribourg,46.80945822,7.144201,07:30 - 19:00,Coop Supermarché Fribourg Jura,1700
Courroux,47.36157255,7.37478649,07:30 - 18:30,Coop Supermarché Courroux,2822
Genève,46.21318351,6.14570571,07:30 - 19:00,Coop Supermarché Genève Rue de Lausanne,1201
Grand-Lancy,46.18188858,6.12043997,08:00 - 19:00,Coop Supermarché Grand-Lancy,1212
Genève,46.20799545,6.13735429,07:30 - 19:00,Coop Supermarché Genève Voltaire,1201
Plan-Les-Ouates,46.16918372,6.12110989,08:00 - 19:00,Coop Supermarché Plan-Les-Ouates,1228
Lausanne,46.52585166,6.65217746,07:30 - 19:00,Coop Supermarché Lausanne Chailly,1012
Schattdorf,46.8656074,8.65468369,07:30 - 18:30,Coop Supermarkt Schattdorf,6467
Elgg,47.49390008,8.86511096,07:30 - 19:00,Coop Supermarkt Elgg,8353
Räterschen,47.49877814,8.7976396,07:30 - 19:00,Coop Supermarkt Räterschen,8352
Hallau,47.69786086,8.4606305,07:30 - 19:00,Coop Supermarkt Hallau,8215
Schleitheim,47.74670004,8.48064282,07:30 - 19:00,Coop Supermarkt Schleitheim,8226
Matzingen,47.52036327,8.93503208,07:30 - 19:00,Coop Supermarkt Matzingen,9548
Wängi,47.49783976,8.95361812,07:30 - 19:00,Coop Supermarkt Wängi,9545
Nesslau,47.22550171,9.19932862,07:30 - 19:00,Coop Supermarkt Nesslau,9650
Niederuzwil,47.44564064,9.13972141,08:00 - 19:00,Coop Supermarkt Niederuzwil,9244
Filisur,46.67375661,9.68387107,08:00 - 12:15 14:00 - 18:30,Coop Supermarkt Filisur,7477
Bremgarten,47.35165422,8.34858118,08:00 - 20:00,Coop Supermarkt Bremgarten,5620
Unterentfelden,47.3605739,8.05199496,08:00 - 20:00,Coop Supermarkt Unterentfelden,5035
Basel,47.54299821,7.59310492,07:00 - 20:00,Coop Supermarkt Basel Gundeli,4053
Möhlin,47.56337258,7.842219,08:00 - 19:00,Coop Supermarkt Möhlin,4313
Lugano,46.01728975,8.95839867,07:30 - 19:00,Coop Supermercato Lugano nord,6904
Ostermundigen,46.95565338,7.48362861,08:00 - 19:00,Coop Supermarkt Ostermundigen Bahnhofstrasse,3072
Biel,47.13862497,7.24704196,07:00 - 19:00,Coop Supermarkt Biel Nidaugasse,2502
Kirchberg,47.08762922,7.58403956,07:00 - 19:00,Coop Supermarkt Kirchberg,3422
Zürich,47.37670896,8.54213318,06:00 - 22:00,Coop Supermarkt Zürich Bahnhofbrücke,8001
Zürich,47.40269234,8.49831488,08:00 - 20:00,Coop Supermarkt Zürich Hönggermarkt,8049
Zürich,47.38748375,8.48923087,07:30 - 20:00,Coop Supermarkt Zürich Altstetten,8048
Zürich,47.41108811,8.56268255,08:00 - 20:00,Coop Supermarkt Zürich Precisa,8050
Zürich,47.34017159,8.53067127,07:30 - 21:00,Coop Supermarkt Zürich Wollishofen,8038
Rüti,47.25733665,8.85003067,07:30 - 20:00,Coop Supermarkt Rüti,8630
Netstal,47.06738851,9.05866452,08:00 - 20:00,Coop Supermarkt Netstal Wiggispark,8754
Pfäffikon,47.36891345,8.78207973,07:30 - 20:00,Coop Supermarkt Pfäffikon ZH,8330
Sierre,46.29386897,7.53487764,08:00 - 18:30,Coop Supermarché Sierre,3960
Zug,47.17101974,8.51654607,07:30 - 19:00,Coop Supermarkt Zug Neustadt,6300
Buochs,46.97917866,8.41578277,07:30 - 20:00,Coop Supermarkt Buochs,6374
Winterthur,47.5005697,8.72591426,08:30 - 20:00,Coop Supermarkt Winterthur Stadtgarten,8400
Aadorf,47.4926593,8.89967817,08:00 - 20:00,Coop Supermarkt Aadorf,8355
Winterthur,47.51023823,8.69159164,07:30 - 20:00,Coop Supermarkt Winterthur Wülflingen,8408
Appenzell,47.33362622,9.40733718,07:30 - 19:00,Coop Supermarkt Appenzell,9050
Wohlen,47.35025602,8.27050802,08:00 - 20:00,Coop Supermarkt Wohlen,5610
Basel,47.56330058,7.5973227,07:30 - 20:00,Coop Supermarkt Basel Europe,4058
Muttenz,47.52762357,7.6474909,08:00 - 20:00,Coop Supermarkt Muttenz Dorf,4132
Köniz,46.92329461,7.41547344,08:00 - 19:00,Coop Supermarkt Köniz Stapfenmärit,3098
Zollikofen,46.99713733,7.45855123,07:00 - 19:00,Coop Supermarkt Zollikofen,3052
Thalwil,47.2966293,8.56214888,07:30 - 20:00,Coop Supermarkt Thalwil,8800
Zofingen,47.29224035,7.9426284,07:30 - 20:00,Coop Supermarkt Zofingen,4800
Martigny,46.10345721,7.07707153,08:00 - 18:30,Coop Supermarché Martigny Ville,1920
La Tour-De-Peilz,46.45313363,6.85748101,08:00 - 19:00,Coop Supermarché La Tour-de-Peilz,1814
Stans,46.9583762,8.36868279,07:30 - 19:00,Coop Supermarkt Stans,6370
Emmenbrücke,47.07326481,8.29050335,07:30 - 19:00,Coop Supermarkt Emmen,6020
Ebikon,47.08263976,8.34321058,07:30 - 19:00,Coop Supermarkt Ebikon,6030
Buchs,47.16628939,9.47322583,07:30 - 19:00,Coop Supermarkt Buchs SG,9470
Rorschach,47.4780131,9.49097944,07:30 - 19:00,Coop Supermarkt Rorschach,9400
Landquart,46.96685546,9.5563548,07:30 - 20:00,Coop Supermarkt Landquart,7302
Liestal,47.48399119,7.73525979,08:00 - 19:00,Coop Supermarkt Liestal Stabhof,4410
Münchenstein,47.52105145,7.60726145,07:00 - 20:00,Coop Supermarkt Münchenstein Gartenstadt,4142
Frick,47.50903411,8.01921934,08:00 - 20:00,Coop Supermarkt Frick,5070
Basel,47.56066579,7.57572321,07:30 - 20:00,Coop Supermarkt Basel Spalemärt,4055
Bern,46.9507141,7.39218493,08:00 - 19:00,Coop Supermarkt Bern Bethlehem,3027
Ittigen,46.9742293,7.48168573,08:00 - 19:00,Coop Supermarkt Ittigen,3063
Schwarzenburg,46.81980049,7.34190048,08:00 - 19:00,Coop Supermarkt Schwarzenburg,3150
Burgdorf,47.05906773,7.62284534,07:30 - 20:00,Coop Supermarkt Burgdorf Stadt,3400
Interlaken,46.68968398,7.86924936,08:00 - 19:00,Coop Supermarkt Interlaken Ost,3800
Pfäffikon,47.2006128,8.79498274,08:00 - 21:00,Coop Supermarkt Pfäffikon SZ Seedamm,8808
Volketswil,47.38251221,8.66763434,09:00 - 20:00,Coop Supermarkt Volketswil Volkiland,8604
Schlieren,47.39729752,8.44888778,08:00 - 20:00,Coop Supermarkt Schlieren Lilie,8952
Oron-La-Ville,46.5706302,6.82027913,08:00 - 19:00,Coop Supermarché Oron-La-Ville,1610
Genève,46.19218897,6.14367843,07:30 - 19:00,Coop Supermarché Genève Augustins,1205
Carouge,46.18877114,6.13672543,07:30 - 19:00,Coop Supermarché Carouge Acacias,1227
Genève,46.21243716,6.13167507,07:30 - 19:00,Coop Supermarché Genève Servette,1202
Genève,46.21996104,6.14120265,07:30 - 19:00,Coop Supermarché Genève Montbrillant,1202
Prilly,46.53420453,6.60611812,08:00 - 19:00,Coop Supermarché Prilly Centre,1008
Yverdon,46.78034551,6.63621505,08:00 - 18:30,Coop Supermarché Yverdon Bel-Air,1400
Ecublens,46.53369818,6.56619806,08:00 - 19:30,Coop Supermarché Ecublens,1024
Morges,46.51005961,6.4978718,07:30 - 18:45,Coop Supermarché Morges Charpentiers,1110
Sarnen,46.8973071,8.25121789,08:00 - 20:00,Coop Supermarkt Sarnen,6060
Willisau,47.1273723,7.99725098,07:30 - 19:00,Coop Supermarkt Willisau,6130
Davos Platz,46.79291452,9.82073474,08:00 - 20:00,Coop Supermarkt Davos,7270
Schaffhausen,47.72137632,8.66554709,08:30 - 20:00,Coop Supermarkt Schaffhausen Herblingen,8207
Aarau,47.39803018,8.05821465,08:00 - 20:00,Coop Supermarkt Aarau Telli,5004
Reinach,47.25163499,8.18245462,07:30 - 19:00,Coop Supermarkt Reinach AG,5734
Lenzburg,47.38989628,8.17091447,07:30 - 20:00,Coop Supermarkt Lenzburg,5600
Worb,46.92892565,7.56144625,08:00 - 19:00,Coop Supermarkt Worb,3076
Porrentruy,47.41714885,7.07780986,08:00 - 18:30,Coop Supermarché Porrentruy Ajoie,2900
Zürich,47.3707316,8.51595137,07:30 - 21:00,Coop Supermarkt Zürich Wiedikon,8003
Dielsdorf,47.48437198,8.46580185,08:00 - 20:00,Coop Supermarkt Dielsdorf,8157
Affoltern am Albis,47.27416702,8.44639833,08:00 - 20:00,Coop Supermarkt Affoltern am Albis,8910
Zürich,47.38636204,8.49878459,09:00 - 20:00,Coop Supermarkt Zürich Letzipark,8048
Herzogenbuchsee,47.18580308,7.70328894,08:00 - 19:00,Coop Supermarkt Herzogenbuchsee,3360
Luzern,47.05691699,8.3100537,07:30 - 19:00,Coop Supermarkt Luzern Löwencenter,6004
St. Moritz,46.49089611,9.83507815,08:00 - 19:00,Coop Supermarkt St. Moritz Bellevue,7500
Heerbrugg,47.40965981,9.62460601,07:30 - 19:00,Coop Supermarkt Heerbrugg,9435
Grancia,45.97322602,8.92705642,09:00 - 19:00,Coop Supermercato Lugano Sud,6916
Onex,46.1875359,6.10417498,08:00 - 19:00,Coop Supermarché Onex,1213
Lausanne,46.52075678,6.63761619,07:30 - 19:00,Coop Supermarché Lausanne Caroline,1003
Gossau,47.41672718,9.25153839,08:00 - 19:00,Coop Supermarkt Gossau SG,9200
Uzwil,47.43615894,9.13910004,08:00 - 19:00,Coop Supermarkt Uzwil,9240
Biel,47.13024513,7.24376375,08:00 - 20:00,Coop Supermarkt Biel Bahnhof,2503
Langenthal,47.21228557,7.79012088,08:00 - 20:00,Coop Supermarkt Langenthal Tell,4900
Genève,46.2004726,6.16003961,07:30 - 19:00,Coop Supermarché Genève Eaux-Vives,1207
Arbon,47.51146563,9.43059105,08:00 - 19:00,Coop Supermarkt Arbon Novaseta,9320
Kreuzlingen,47.65061587,9.17327258,08:00 - 20:00,Coop Supermarkt Kreuzlingen Karussell,8280
Frauenfeld,47.55409617,8.89689063,08:00 - 20:00,Coop Supermarkt Frauenfeld Schlosspark,8500
Winterthur,47.49492365,8.75840051,08:00 - 20:00,Coop Supermarkt Winterthur Grüzemarkt,8404
Weinfelden,47.56631082,9.09695006,08:00 - 20:00,Coop Supermarkt Weinfelden Thurmarkt,8570
Signy,46.39762052,6.20594625,08:30 - 19:00,Coop Supermarché Signy,1274
St. Gallen,47.43790123,9.41317046,08:00 - 19:00,Coop Supermarkt St. Gallen Gallusmarkt,9016
Bioggio,46.01580392,8.91251364,08:00 - 19:00,Coop Supermercato Bioggio,6934
Minusio,46.17487746,8.81241662,08:00 - 19:00,Coop Supermercato Minusio,6648
Bern,46.94188961,7.39185101,08:00 - 19:00,Coop Supermarkt Bern Bümpliz,3018
Brig,46.31511626,7.98681169,07:30 - 18:30,Coop Supermarkt Brig,3900
Naters,46.32285842,7.98938311,07:30 - 18:30,Coop Supermarkt Naters Bine,3904
Zermatt,46.02334317,7.74897741,08:00 - 20:00,Coop Supermarkt Zermatt,3920
Saas Grund,46.12418441,7.9370749,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Saas Grund,3910
Riederalp,46.37834744,8.03337137,08:00 - 12:00,Coop Supermarkt Riederalp,3987
Fiesch,46.4014312,8.13298365,08:00 - 18:30,Coop Supermarkt Fiesch,3984
Täsch,46.07653848,7.77854419,08:00 - 18:30,Coop Supermarkt Täsch,3929
Mörel,46.35672985,8.04703655,08:00 - 12:00 14:00 - 18:30,Coop Supermarkt Mörel-Filet,3983
Entlebuch,46.99334849,8.06578556,08:00 - 19:00,Coop Supermarkt Entlebuch,6162
Samedan,46.53219828,9.87060418,08:00 - 19:00,Coop Supermarkt Samedan,7503
Winterthur,47.50029448,8.72396969,06:00 - 22:00,Coop Supermarkt Winterthur Stadttor,8400
Neunkirch,47.68958462,8.49599661,07:30 - 19:00,Coop Supermarkt Neunkirch,8213
Genève,46.20788932,6.12737806,07:30 - 19:00,Coop Supermarché Genève Charmilles,1203
Saas Fee,46.10767066,7.92622797,08:00 - 12:15 14:15 - 18:30,Coop Supermarkt Saas Fee Dorfstrasse,3906
Neuenegg,46.89405225,7.30180895,07:00 - 19:00,Coop Supermarkt Neuenegg,3176
Brunnen,46.99661767,8.60752933,07:30 - 20:00,Coop Supermarkt Brunnen,6440
Baar,47.19522095,8.52387038,06:30 - 19:00,Coop Supermarkt Baar Gotthard,6340
Zürich,47.41292118,8.54047205,07:30 - 21:00,Coop Supermarkt Zürich Eleven,8050
Jona,47.23162603,8.83675173,07:30 - 20:00,Coop Supermarkt Jona Eisenhof,8645
Kriens,47.03440461,8.27328153,08:00 - 19:00,Coop Supermarkt Kriens Schappe,6010
Crissier,46.54495464,6.57001943,08:30 - 19:30,Coop Supermarché Crissier,1023
Grand-Lancy,46.17992655,6.12809051,08:30 - 19:00,Coop Supermarché Grand-Lancy La Praille,1212
Baden,47.47640735,8.30712079,06:00 - 21:00,Coop Supermarkt Baden Bahnhof,5400
Le Sentier,46.60671355,6.23275188,07:30 - 18:30,Coop Supermarché Le Sentier,1347
Verscio,46.18620678,8.73304986,08:00 - 19:00,Coop Supermercato Verscio,6653
Lausanne,46.52662192,6.61243909,07:30 - 19:00,Coop Supermarché Lausanne Prélaz,1004
