Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Basel,47.56596005,7.56232884,07:30 - 19:00,Coop Supermarkt Basel Michelbacher,4055,124.0,,,Basel
Basel,47.57677244,7.59100955,07:30 - 20:00,Coop Supermarkt Basel Wiesenplatz,4057,124.0,,,Basel
Basel,47.53422013,7.59314601,07:30 - 18:30,Coop Supermarkt Basel Hauenstein,4059,124.0,,,Binningen
Basel,47.56733367,7.60105565,07:30 - 18:30,Coop Supermarkt Basel Mattenstrasse,4058,124.0,,,Basel
Basel,47.57033411,7.60986274,07:30 - 19:00,Coop Supermarkt Basel Schorenweg,4058,124.0,,,Birsfelden
Basel,47.55180395,7.5624023,07:30 - 18:30,Coop Supermarkt Basel Wanderstrasse,4054,124.0,,,Binningen
Basel,47.56021673,7.56736456,07:30 - 20:00,Coop Supermarkt Basel Helvetiaplatz,4055,124.0,,,Basel
Basel,47.55959043,7.58718697,06:30 - 20:00,Coop Supermarkt Basel Fischmärt,4051,124.0,,,Basel
Basel,47.54299821,7.59310492,07:00 - 20:00,Coop Supermarkt Basel Gundeli,4053,124.0,,,Basel
Basel,47.56330058,7.5973227,07:30 - 20:00,Coop Supermarkt Basel Europe,4058,124.0,,,Basel
Basel,47.56066579,7.57572321,07:30 - 20:00,Coop Supermarkt Basel Spalemärt,4055,124.0,,,Basel
Basel,47.57068686,7.57379539,07:30 - 20:00,Coop Supermarkt Basel Volta Zentrum,4056,124.0,,,Basel
Basel,47.56913304,7.57966526,07:30 - 20:00,Coop Supermarkt Basel Elsässerstrasse,4056,124.0,,,Basel
Basel,47.57188255,7.60245172,07:30 - 20:00,Coop Supermarkt Basel Erlenmatt,4058,124.0,,,Basel
Basel,47.54538742,7.58864858,07:00 - 22:00,Coop Supermarkt Basel Südpark,4053,124.0,,,Basel
Basel,47.56106924,7.59120384,06:30 - 20:00,Coop Supermarkt Basel Greifengasse,4058,124.0,,,Basel
Basel,47.55866595,7.60579919,07:30 - 19:00,Coop Supermarkt Basel Roche B11,4058,124.0,,,Basel
Bassecourt,47.33786599,7.2528355,08:00 - 18:30,Coop Supermarché Bassecourt,2854,,,,Haute-Sorne
Bassersdorf,47.44260442,8.63114125,07:30 - 20:00,Coop Supermarkt Bassersdorf,8303,126.0,,,Bassersdorf
Bätterkinden,47.13117769,7.53790764,08:00 - 19:00,Coop Supermarkt Bätterkinden,3315,128.0,,,Bätterkinden
