Gemeinde,lat,long,name,GMDNAME
Biel/Bienne,47.1318817,7.2526388,Denner Filiale,Biel/Bienne
Biel/Bienne,47.1358261,7.2480378,Denner Filiale,Biel/Bienne
Biel/Bienne,47.1462708,7.272325,Denner Filiale,Brügg
Biel/Bienne,47.15047,7.26302,Denner Filiale,Biel/Bienne
Biel/Bienne,47.15561,7.28132,Denner Filiale,Orpund
Bilten,47.1506996,9.0204,Denner Partner,Schänis
Binningen,47.5305214,7.5699825,Denner Filiale,Binningen
Birmensdorf (ZH),47.3596857,8.4540512,Denner Filiale,Uitikon
Birsfelden,47.5509987,7.6243,Denner Filiale,Birsfelden
Birsfelden,47.55449,7.61969,Denner Partner,Birsfelden
Bossonnens,46.52649,6.85246,Denner Partner,Bossonnens
Boudry,46.95476,6.84826,Denner Partner,Boudry
Bouveret,46.3843363,6.8534783,Denner Satellit,Port-Valais
Bözberg,47.49788,8.15731,Denner Express,Bözberg
Breganzona,46.0122299,8.9351149,Denner Filiale,Massagno
Breitenbach,47.408778,7.543369,Denner Filiale,Breitenbach
Bremgarten,46.9748917,7.4373045,Denner Filiale,Bremgarten bei Bern
Bremgarten (AG),47.3526993,8.3496199,Denner Filiale,Bremgarten (AG)
Bremgarten (AG),47.3501396,8.3457117,Denner Filiale,Bremgarten (AG)
Bremgarten (AG),47.3465309,8.3402634,Denner Satellit,Bremgarten (AG)
Brig,46.3184204,7.9852633,Denner Filiale,Brig-Glis
Broc,46.6024857,7.1050053,Denner Express,Broc
Brugg (AG),47.4811821,8.2087812,Denner Filiale,Brugg
Brügg (BE),47.1196632,7.2669926,Denner Filiale,Port
Brunnen,46.9999161,8.6089859,Denner Filiale,Ingenbohl
Brüttisellen,47.42381,8.63013,Denner Partner,Dietlikon
Bubendorf,47.4568596,7.7432175,Denner Filiale,Bubendorf
Buchs (AG),47.3847466,8.0890141,Denner Filiale,Suhr
Buchs (SG),47.1637054,9.4741914,Denner Filiale,Buchs (SG)
Buchs (SG),47.1669273,9.4764357,Denner Filiale,Buchs (SG)
Buchs (ZH),47.45675,8.43893,Denner Partner,Buchs (ZH)
Bühler,47.37381,9.41731,Denner Partner,Bühler
Bülach,47.509613,8.539238,Denner Filiale,Bülach
Bülach,47.5209742,8.5399111,Denner Filiale,Bülach
Bulle,46.621132,7.060373,Denner Filiale,Bulle
Bulle,46.623558,7.0574269,Denner Filiale,Bulle
Bulle,46.614137,7.039683,Denner Filiale,Bulle
Büren an der Aare,47.13928,7.36972,Denner Partner,Büren an der Aare
Burgdorf,47.05906,7.62094,Denner Filiale,Burgdorf
Burgdorf,47.0684547,7.6009932,Denner Filiale,Lyssach
Burgdorf,47.0531006,7.6202998,Denner Filiale,Burgdorf
Bussigny,46.5399208,6.5537305,Denner Filiale,Bussigny
Bussigny-Lausanne,46.5475349,6.5530977,Denner Express,Bussigny
Busswil bei Büren,47.09705,7.31782,Denner Satellit,Lyss
Bütschwil,47.36317,9.073,Denner Bibite,Bütschwil-Ganterschwil
Buttikon (SZ),47.17347,8.95731,Denner Partner,Reichenburg
Campascio,46.241777,10.1330404,Denner Satellit,Brusio
Carouge (GE),46.1867905,6.1383858,Denner Filiale,Carouge (GE)
Carouge (GE),46.18456,6.14664,Denner Express,Carouge (GE)
Caslano,45.97722,8.874119,Denner Partner,Caslano
Castione,46.22487,9.04434,Denner Filiale,Arbedo-Castione
Cernier,47.0581155,6.9005194,Denner Filiale,Val-de-Ruz
Cham,47.1817017,8.4611998,Denner Filiale,Cham
Champagne,46.8335457,6.6552215,Denner Partner,Champagne
Champlan,46.24539,7.37015,Denner Express,Sion
Châtel-Saint-Denis,46.5322418,6.89639,Denner Partner,Châtel-Saint-Denis
Châtelaine,46.210871,6.112107,Denner Filiale,Lancy
Chavannes-Renens,46.53331,6.57851,Denner Filiale,Renens (VD)
Chavannes-Renens,46.5282782,6.5674249,Denner Filiale,Ecublens (VD)
Chavornay,46.7092972,6.5705862,Denner Partner,Chavornay
Chernex,46.4442177,6.9113774,Denner Express,Montreux
Chiasso,45.8348194,9.0197138,Denner Satellit,Chiasso
Chiasso,45.83511,9.0316,Denner Express,Chiasso
Chur,46.8515396,9.5275536,Denner Filiale,Chur
Chur,46.8599014,9.5169897,Denner Filiale,Chur
Chur,46.8469532,9.5211956,Denner Filiale,Chur
Chur,46.85067,9.51317,Denner Filiale,Chur
Chur,46.8492851,9.531621,Denner Express,Chur
Chur,46.861762,9.534892,Denner Filiale,Chur
Clarens,46.4414482,6.8942809,Denner Filiale,Montreux
Claro,46.25226,9.02015,Denner Satellit,Arbedo-Castione
Coldrerio,45.854988,8.99239,Denner Partner,Coldrerio
Collombey,46.2665,6.9552,Denner Filiale,Monthey
Conthey,46.2226334,7.2992821,Denner Filiale,Conthey
Conthey,46.22363,7.30192,Denner Bibite,Conthey
Corcelles-Payerne,46.83218,6.96325,Denner Express,Corcelles-près-Payerne
Corgémont,47.1945953,7.1445813,Denner Satellit,Corgémont
Corsier-sur-Vevey,46.4678612,6.8378625,Denner Filiale,Corsier-sur-Vevey
Cortaillod,46.9445,6.84296,Denner Express,Cortaillod
Cossonay-Ville,46.6135,6.50651,Denner Express,Cossonay
Cottens (FR),46.75307,7.03312,Denner Partner,Cottens (FR)
Courrendlin,47.3442,7.36825,Denner Partner,Courrendlin
Courroux,47.3617439,7.3729949,Denner Satellit,Courroux
Courtelary,47.17601,7.06709,Denner Satellit,Courtelary
Courtepin,46.8650513,7.1252737,Denner Satellit,Courtepin
Cousset,46.820507,6.9782872,Denner Partner,Montagny (FR)
Couvet,46.924,6.63148,Denner Express,Val-de-Travers
Crans-Montana,46.31266,7.48069,Denner Express,Crans-Montana
Crissier,46.5541191,6.5690165,Denner Filiale,Crissier
Cudrefin,46.9594536,7.0274453,Denner Satellit,Cudrefin
Cugy (VD),46.58543,6.64021,Denner Filiale,Cugy (VD)
Dagmersellen,47.2151947,7.9866214,Denner Satellit,Dagmersellen
Davos,46.80201,9.83512,Denner Filiale,Davos
Deitingen,47.21274,7.61894,Denner Partner,Deitingen
Delémont,47.3638687,7.345583,Denner Express,Delémont
Delémont,47.36505,7.34771,Denner Filiale,Delémont
Derendingen,47.198484,7.583772,Denner Partner,Derendingen
Dielsdorf,47.48077,8.465,Denner Filiale,Dielsdorf
Dietikon,47.395819,8.414943,Denner Satellit,Urdorf
Dietikon,47.4055836,8.4024344,Denner Filiale,Dietikon
Dietikon,47.4058762,8.3974047,Denner Filiale,Dietikon
Domat/Ems,46.83658,9.46494,Denner Filiale,Domat/Ems
Domdidier,46.8664131,7.012682,Denner Partner,Belmont-Broye
Dornach,47.4800038,7.6156291,Denner Satellit,Dornach
Dottikon,47.38221,8.239703,Denner Partner,Dottikon
Döttingen,47.5733355,8.2558427,Denner Filiale,Döttingen
Dübendorf,47.3984028,8.6180968,Denner Filiale,Dübendorf
Dübendorf,47.3962288,8.6133852,Denner Filiale,Dübendorf
Dübendorf,47.39807,8.62141,Denner Express,Dübendorf
Düdingen,46.846199,7.1918001,Denner Filiale,Düdingen
