Gemeinde,lat,long,name
 Neuchâtel,46.9964561,6.9325256,Denner Filiale
 Naters,46.32392,7.99242,Denner Partner
 Lugano,46.0210838,8.9580622,Denner Filiale
 Yvonand,46.799487,6.745038,Denner Partner
 Pfäffikon ZH,47.3682022,8.7805805,Denner Filiale
 Chur,46.8492851,9.531621,Denner Express
 Buchs AG,47.3847466,8.0890141,Denner Filiale
 Lugano Paradiso,45.9906921,8.9433289,Denner Filiale
 Cousset,46.820507,6.9782872,Denner Partner
 Stein AG,47.5467072,7.9524579,Denner Filiale
 Sedrun,46.6804466,8.775238,Denner Satellit
 Kreuzlingen,47.6418037,9.1960135,Denner Filiale
 Porrentruy,47.41648,7.07715,Denner Filiale
 Claro,46.25226,9.02015,Denner Satellit
 Fleurier,46.9032326,6.5887971,Denner Satellit
 Ibach,47.0156975,8.6459961,Denner Filiale
 Thun,46.75936,7.62498,Denner Filiale
 Alle,47.4243317,7.1275897,Denner Partner
 Basel,47.5621223,7.5932331,Denner Filiale
 Chur,46.861762,9.534892,Denner Filiale
 Bremgarten AG,47.3526993,8.3496199,Denner Filiale
 Mezzovico,46.09154,8.92271,Denner Partner
 Airolo,46.52785,8.60763,Denner Satellit
 Niederurnen,47.1300011,9.0580864,Denner Filiale
 Corsier-sur-Vevey,46.4678612,6.8378625,Denner Filiale
 Reiden,47.2414742,7.969666,Denner Filiale
 Stans,46.956427,8.373638,Denner Satellit
 Wilderswil,46.673343,7.868023,Denner Filiale
 Lüscherz,47.04669,7.15026,Denner Satellit
 Aarau,47.3978954,8.0582168,Denner Filiale
 Verbier,46.0976143,7.223896,Denner Filiale
 Meyrin,46.2349091,6.0749793,Denner Filiale
 Kirchberg,47.0889999,7.58097,Denner Filiale
 Zumikon,47.3364677,8.6193209,Denner Filiale
 Steinhausen,47.19216,8.47782,Denner Filiale
 Regensdorf,47.4446945,8.4654236,Denner Express
 Zürich,47.3884048,8.4871044,Denner Filiale
 Tenero,46.178107,8.853993,Denner Partner
 Aigle,46.315611,6.965225,Denner Filiale
 Gümligen,46.9327953,7.5043041,Denner Filiale
 Luzern,47.0430031,8.3112516,Denner Filiale
 Courroux,47.3617439,7.3729949,Denner Satellit
 Gebenstorf,47.48999,8.24507,Denner Filiale
 Winterthur,47.4990845,8.720397,Denner Filiale
 St. Margrethen SG,47.4500499,9.6515799,Denner Filiale
 Lausanne,46.5341568,6.630321,Denner Filiale
 Frauenfeld,47.5638618,8.908164,Denner Filiale
 Romanel-s-Lausanne,46.5754204,6.6054058,Denner Filiale
 St. Gallen,47.4374313,9.4046049,Denner Filiale
 Interlaken,46.6818695,7.8521399,Denner Filiale
 Neuhausen,47.6830025,8.6192112,Denner Filiale
 Lyss,47.0755577,7.3055286,Denner Filiale
 Basel,47.5605807,7.5980874,Denner Filiale
 Neuchâtel,46.9816093,6.9002662,Denner Express
 Olten,47.35002,7.89673,Denner Filiale
 Schönbühl EKZ,47.0169868,7.4924374,Denner Filiale
 Bern,46.9555099,7.43364,Denner Bibite
 Wetzikon ZH,47.3276634,8.7996979,Denner Bibite
 Lenzburg,47.39036,8.17246,Denner Filiale
 Nyon,46.3827629,6.2352953,Denner Filiale
 Schwyz,47.020979,8.656819,Denner Satellit
 Zürich,47.3863525,8.4987726,Denner Filiale
 Winterthur,47.510505,8.758528,Denner Satellit
 Wettingen,47.4672199,8.32498,Denner Filiale
 Birsfelden,47.5509987,7.6243,Denner Filiale
 Basel,47.5485611,7.5865655,Denner Filiale
 Hochdorf,47.1661453,8.291338,Denner Filiale
 Zürich,47.4039383,8.5726547,Denner Filiale
 Granges VS,46.2568588,7.4683032,Denner Express
 Hägendorf,47.3339722,7.8422364,Denner Partner
 Zürich,47.3692436,8.5029736,Denner Filiale
 Genève,46.21109,6.14974,Denner Filiale
 Berikon,47.3638458,8.3662395,Denner Filiale
 Haag (Rheintal),47.2095985,9.4899855,Denner Filiale
 Caslano,45.97722,8.874119,Denner Partner
 Bern,46.9366455,7.4327493,Denner Filiale
 Belmont-Lausanne,46.5235443,6.678699,Denner Satellit
 Reinach AG,47.2588844,8.1821623,Denner Filiale
 Zürich,47.3728447,8.5295153,Denner Filiale
 Ettingen,47.4843597,7.5473137,Denner Express
 Rubigen,46.8924866,7.541666,Denner Filiale
 Bern,46.9482574,7.444911,Denner Filiale
 Chavannes-Renens,46.53331,6.57851,Denner Filiale
 Monte Carasso,46.183319,9.000284,Denner Satellit
 Petit-Lancy,46.1871872,6.1112642,Denner Filiale
 Füllinsdorf,47.5025346,7.7273124,Denner Filiale
 Paudex,46.5068169,6.6712732,Denner Filiale
 Zürich,47.3582458,8.5180702,Denner Filiale
 Cugy VD,46.58543,6.64021,Denner Filiale
 Genève,46.21004,6.12896,Denner Express
 Le Locle,47.056282,6.7477398,Denner Filiale
 Buchs SG,47.1637054,9.4741914,Denner Filiale
 Cham,47.1817017,8.4611998,Denner Filiale
 Coldrerio,45.854988,8.99239,Denner Partner
 Campascio,46.241777,10.1330404,Denner Satellit
 Biel/Bienne,47.1462708,7.272325,Denner Filiale
 Lenzburg,47.3880501,8.1770763,Denner Express
 Zürich,47.3644829,8.555584,Denner Express
 Zürich,47.3928383,8.5287017,Denner Express
 Döttingen,47.5733355,8.2558427,Denner Filiale
 Solothurn,47.2073212,7.5323286,Denner Express
 Olten,47.3463287,7.9096236,Denner Filiale
 Einsiedeln,47.13108,8.74361,Denner Filiale
 Biel/Bienne,47.15047,7.26302,Denner Filiale
 Zürich,47.4033813,8.4976425,Denner Filiale
 Oberengstringen,47.4088,8.46212,Denner Filiale
 Genève,46.2189674,6.1130161,Denner Filiale
 Möhlin,47.5571518,7.8451028,Denner Filiale
 Quartino,46.1522201,8.9122571,Denner Partner
 Embrach,47.5125008,8.5933981,Denner Filiale
 Röschenz,47.4253769,7.4752688,Denner Satellit
 Solothurn,47.2030029,7.5440803,Denner Filiale
 Rhäzüns,46.7994385,9.3975773,Denner Satellit
 Le Sentier,46.60797,6.23155,Denner Satellit
 Luzern,47.045826,8.3006907,Denner Filiale
 Kreuzlingen,47.6556,9.16319,Denner Filiale
 Basel,47.5687332,7.5694118,Denner Satellit
 Zürich,47.3795433,8.5270691,Denner Express
 Bühler,47.37381,9.41731,Denner Partner
 Sarnen,46.8998528,8.2478485,Denner Filiale
 Laupen BE,46.9035149,7.2400594,Denner Satellit
 Wetzikon ZH 1,47.3199844,8.7922392,Denner Filiale
 St. Moritz,46.4898949,9.8362198,Denner Express
 Genève,46.1930313,6.1436391,Denner Filiale
 Hasle b. Burgdorf,47.0133334,7.6597719,Denner Filiale
 Ittigen,46.9738503,7.4846587,Denner Filiale
 Roche VD,46.35478,6.9328,Denner Filiale
 Küssnacht am Rigi,47.08352,8.4418,Denner Partner
 Oberwil BL,47.5093727,7.554307,Denner Filiale
 Romanel-s-Lausanne,46.5596504,6.6117883,Denner Filiale
 Les Bois,47.1759201,6.904347,Denner Express
 Zürich,47.3444443,8.5307074,Denner Filiale
 Zürich,47.387207,8.4859943,Denner Express
 Winterthur,47.5041465,8.7724363,Denner Filiale
 Urtenen-Schönbühl,47.0195656,7.4983191,Denner Filiale
 Luzern,47.0641212,8.2785912,Denner Filiale
 Gretzenbach,47.3582649,7.9901371,Denner Filiale
 Escholzmatt,46.9164391,7.9356885,Denner Satellit
 Bremgarten AG,47.3501396,8.3457117,Denner Filiale
 Herbriggen,46.13464,7.79187,Denner Express
 Langenthal,47.2103806,7.7911844,Denner Filiale
 Sarnen,46.8970413,8.24967,Denner Filiale
 Therwil,47.5039597,7.5547066,Denner Filiale
 Dietikon,47.4058762,8.3974047,Denner Filiale
 La Chaux-de-Fds 1,47.0902672,6.8044815,Denner Filiale
 Sugiez-Vully,46.962051,7.1134,Denner Express
 Buchs SG,47.1669273,9.4764357,Denner Filiale
 Unterägeri,47.1382103,8.5795116,Denner Filiale
 Amriswil,47.5438347,9.2859087,Denner Filiale
 Holderbank SO,47.3328209,7.7539153,Denner Satellit
 Thun,46.7403374,7.6226997,Denner Filiale
 Grono,46.24524,9.14088,Denner Satellit
 Lumino,46.232281,9.065094,Denner Satellit
 Stans,46.9646912,8.3556557,Denner Filiale
 Sissach,47.46234,7.81627,Denner Filiale
 Richterswil,47.2100372,8.7037764,Denner Filiale
 Sachseln,46.8685684,8.2397184,Denner Satellit
 Glis,46.3088,7.97016,Denner Filiale
 Rüschlikon,47.3006112,8.5501107,Denner Filiale
 Basel,47.568549,7.579107,Denner Satellit
