GMDNAME,KTNAME,LAT_CNTR,LONG_CNTR,HEIGHT_CNTR,BEVDICHTE_SQKM_ 2019,AUSLAENDER_ANTEIL_2019,ALTERSVERTEILUNG_ANTEIL_0_19_ 2019,ALTERSVERTEILUNG_ANTEIL_20_64_ 2019,ALTERSVERTEILUNG_ANTEIL_65PLUS_ 2019,PRIVATHAUSHALTE_2019,DURCHSCH_HAUSHALTSGROESSE_2019,GESAMTFLAECHE_ SQKM_2016,LANDWIRTSCHAFTSFLAECHE_ANTEIL_2004/09,WALD_GEHOELZE_ANTEIL_2004/09,UNPRODUKTIVE_FLAECHE_ANTEIL_2004/09,BESCHAEFTIGTE_TOTAL_2018,BESCHAEFTIGTE_ERSTERSEKTOR_2018,BESCHAEFTIGTE_ZWEITERRSEKTOR_2018,BESCHAEFTIGTE_DRITTERSEKTOR_2018,ARBEITSSTAETTEN_TOTAL_2018,ARBEITSSTAETTEN_ERSTERSEKTOR_2018,ARBEITSSTAETTEN_ZWEITERSEKTOR_2018,ARBEITSSTAETTEN_DRITTERSEKTOR_2018,NEUWOHNUNGEN_PRO_1000_2018,SOZAILHILFEQUOTE_2019,WAEHLERANTEIL_FDP_2019,WAEHLERANTEIL_CVP_2019,WAEHLERANTEIL_SP_2019,WAEHLERANTEIL_SVP_2019,WAEHLERANTEIL_EVP_CSP_2019,WAEHLERANTEIL_GLP_2019,WAEHLERANTEIL_BDP_2019,WAEHLERANTEIL_PDA_SOL_2019,WAEHLERANTEIL_GPS_2019,WAEHLERANTEIL_KLEINERECHTSPARTEIN_2019,AVG_INCOME_PRO_STEUERPFLPERSON,STEUERBARES_EINKOMMEN_GEMEINDE,ANZAHL_FAHRZEUGE,ANZAHL_HALTESTELLEN_OV,Anzahl Filialen Coop,Anzahl Filialen Migros,Anzahl Filialen Denner,Anzahl Filialen Spar
Vully-les-Lacs,Vaud,46.9188394302058,7.02246601668711,486.285890828818,156.500956,16.49358583,21.65546732,59.49908369,18.84544899,1439,2.250173732,20.92,67.84688995,17.55980861,2.727272727,662.0,215.0,78.0,369.0,210.0,59.0,27.0,124.0,15.23007129,2.19,29.21619614,2.179296682,16.58618128,24.21371966,1.578751857,8.630510154,0.798662704,1.739722635,12.15329371,0.674839029,72756.00624025,93.2732,2295.9999999443394,14,0,0,1,0
Wachseldorn,Bern,46.821179729698,7.73086395771229,1048.5614094222,66.38176638,4.291845494,21.45922747,52.78969957,25.75107296,102,2.274509804,3.51,69.7740113,24.85875706,0.282485876,,51.0,,12.0,,20.0,,9.0,0.0,,0.265957447,0.132978723,6.338652482,76.15248227,5.141843972,1.15248227,4.078014184,0.0,1.329787234,4.920212766,50971.052631579,3.8738,,5,0,0,0,0
Wädenswil,Zürich,47.2287245279397,8.67196989063482,468.346703866497,690.9090909,22.21816114,19.76526966,59.88466537,20.35006498,10629,2.280741368,35.64,63.26587971,15.06464306,2.33277122,9750.0,400.0,1581.0,7769.0,1860.0,144.0,234.0,1482.0,2.486142811,2.41,13.46061347,9.783856051,13.85071032,29.24893102,4.160023027,10.97421952,1.61719759,0.200729443,12.97431799,1.690293406,,,12558.99999838025,83,3,5,1,1
Wagenhausen,Thurgau,47.653185233856,8.84025815805821,486.319761747494,145.0465707,21.89141856,20.31523643,61.47110333,18.21366025,762,2.213910761,11.81,53.55329949,29.01861252,6.091370558,381.0,61.0,132.0,188.0,118.0,27.0,19.0,72.0,23.53651177,0.77,8.973913044,4.973913044,10.0173913,50.22608696,2.226086957,7.234782609,2.226086957,,12.48695652,1.634782609,61834.033613445,44.1495,1127.000000403466,2,0,0,0,0
Wahlen,Basel-Landschaft,47.4007942157655,7.51545755705834,456.037507858127,270.9796673,12.27830832,19.50886767,63.16507503,17.3260573,617,2.34197731,5.41,54.98154982,33.76383764,0.0,195.0,39.0,30.0,126.0,80.0,18.0,8.0,54.0,14.82004234,1.78,12.30936819,17.10239651,13.10820625,41.57588962,1.234567901,3.231663036,0.290486565,,11.14742193,,65088.673139159,40.2248,884.999998296375,5,0,0,0,0
Walchwil,Zug,47.1007625061816,8.51488510246663,493.86655361671,274.0768095,36.32444085,18.83589329,59.68741579,21.47669092,1607,2.278780336,13.54,42.37037037,44.14814815,4.074074074,1082.0,123.0,269.0,690.0,314.0,42.0,35.0,237.0,5.529444291,0.93,14.59560793,24.79914301,9.48044992,35.19014462,0.321371184,5.302624531,,,10.31065881,,211052.5,354.5682,2644.0000004169383,25,0,0,0,0
Wald (AR),Appenzell Ausserrhoden,47.4159224059862,9.48876357109623,993.87249859795,127.6720351,8.256880734,23.16513761,57.68348624,19.15137615,359,2.398328691,6.83,64.76608187,28.65497076,0.0,308.0,55.0,142.0,111.0,86.0,26.0,16.0,44.0,2.333722287,1.03,44.88188976,,,53.54330709,,,,,,,62154.335260116,21.5054,581.99999946456,7,0,0,0,1
Wald (BE),Bern,46.8818152905948,7.471431757373,891.215523793362,88.27067669,6.6439523,19.50596252,57.06984668,23.4241908,512,2.271484375,13.3,74.58646617,19.2481203,0.0,615.0,150.0,30.0,435.0,113.0,48.0,10.0,55.0,0.853970965,,4.892788657,0.877447847,10.47707595,37.20146435,3.567900517,7.879597885,10.84897437,0.604334941,11.69155674,6.874309954,66813.026819923,34.8764,679.0000000339501,10,0,0,0,0
Wald (ZH),Zürich,47.2762445681266,8.91495943597488,667.286577207968,399.5251286,26.56497623,20.11687797,62.17313788,17.70998415,4421,2.245871975,25.27,52.84810127,33.2278481,0.988924051,3460.0,188.0,1058.0,2214.0,655.0,78.0,133.0,444.0,11.61487519,2.28,10.16709245,4.684802872,12.96347442,35.72694423,3.614582614,11.32247002,1.594973417,0.202536307,14.39043476,2.978204332,62000.541871921,251.7222,5743.000000646316,27,1,2,1,0
Waldenburg,Basel-Landschaft,47.3815250449584,7.7458468611272,602.854985206388,132.5721154,30.09972801,15.86582049,64.18857661,19.9456029,513,2.1208577,8.32,31.5598549,62.51511487,0.120918984,392.0,28.0,228.0,136.0,80.0,10.0,17.0,53.0,0.0,4.26,13.78332388,4.140669314,12.59217243,41.91718661,4.537719796,4.027226319,0.510493477,,18.49120817,,62169.261477046,31.1468,633.00000038613,6,0,0,0,0
Wäldi,Thurgau,47.6345338725815,9.09527928128884,633.857382450253,85.74938575,18.91117479,20.15281757,61.79560649,18.05157593,442,2.350678733,12.21,69.56521739,16.5709598,0.082034455,425.0,104.0,59.0,262.0,124.0,44.0,18.0,62.0,16.22137405,1.13,6.028368794,8.763931104,7.902735562,57.90273556,2.988855117,5.673758865,3.343465046,,6.180344478,1.215805471,66008.258928571,29.5717,783.0000001940721,8,0,0,0,0
Waldkirch,St. Gallen,47.4688364553357,9.28514762805497,666.749424438924,112.7313338,8.264930654,25.92697424,58.22247382,15.85055194,1309,2.667685256,31.34,60.54226475,28.64433812,0.765550239,1437.0,311.0,431.0,695.0,326.0,112.0,66.0,148.0,0.285877644,1.11,17.73385492,23.00459817,4.488367305,40.0521584,0.802964793,5.545261135,0.645117013,,5.359961568,1.633381374,68018.270676692,90.4643,2125.9999998387175,19,0,0,0,0
Waldstatt,Appenzell Ausserrhoden,47.3563774260686,9.28522331428884,858.182352053002,269.1851852,11.7226197,22.06934507,57.29223996,20.63841497,714,2.514005602,6.75,60.53811659,26.30792227,0.896860987,980.0,59.0,577.0,344.0,148.0,26.0,30.0,92.0,2.166847237,1.5,35.45310016,,,63.27503975,,,,,,,63689.81348637,44.3918,1032.0000003937478,6,1,0,0,0
Walenstadt,St. Gallen,47.1238063847329,9.31279276871676,473.066515025683,124.7812773,18.91323401,20.68361087,59.28133216,20.03505697,2482,2.269540693,45.72,34.36952715,40.58669002,18.97985989,2256.0,124.0,504.0,1628.0,377.0,47.0,67.0,263.0,12.14719543,1.06,13.37900578,23.2533122,11.04065225,31.57626543,0.985165893,8.515456913,1.500396331,,8.249348885,0.549201676,62223.375527426,147.4694,3186.000000787811,17,1,1,0,0
