xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H
ch14uvag00226150,ch:1:sloid:90532::51,,51,,,20220207,,20220508,ch14uvag00044414,2671880,1250544,406.5
ch14uvag00226391,ch:1:sloid:90561::0,,0,,,20220207,,20220508,ch14uvag00044637,2688228,1250792,428.3
ch14uvag00226393,ch:1:sloid:90561::50,,50,,,20220207,,20220508,ch14uvag00044637,2688257,1250800,429.6
ch14uvag00231879,ch:1:sloid:92937:0:309730,,pxph01,18.00,14.00,20200106,,20220508,ch14uvag00047525,2498012.391,1121240.141,426.8
ch14uvag00231707,ch:1:sloid:7180:1:7,H,16,,,20030124,,20220508,ch14uvag00061264,2614617.038,1178224.024,560
ch14uvag00240606,ch:1:sloid:4463::44634,3,44634,60.00,35.00,20210101,,20220508,ch14uvag00061014,2581762,1212860,491.3
ch14uvag00243932,ch:1:sloid:91536::336302,,2,,,20211212,,20220508,ch14uvag00041852,2697414,1107226,321.3
ch14uvag00235595,ch:1:sloid:91128::81,,81,,,20210720,,20220508,ch14uvag00065063,2684742,1252515,425.4
ch14uvag00233844,ch:1:sloid:91268::80,,80,,,20210720,,20220508,ch14uvag00065211,2681647,1243686,430.3
ch14uvag00240476,ch:1:sloid:4678:0:97165,,HPLN_34,,,20210223,,20220508,ch14uvag00056355,2596786.14007,1106803.61027,1605.8
ch14uvag00227875,ch:1:sloid:76597:1:1,,10,,,20151213,,20220508,ch14uvag00058955,2623018.336,1183149.169,946.6
ch14uvag00238075,ch:1:sloid:77200::2,,2,,,20210201,,20220508,ch14uvag00053036,2671964.62833,1212691.33287,572.3
ch14uvag00234834,ch:1:sloid:80449::82,,82,,,20210720,,20220508,ch14uvag00064936,2683400,1251572,441.9
ch14uvag00227276,ch:1:sloid:90880::51,,51,,,20220207,,20220508,ch14uvag00063262,2687290,1252613,464.3
ch14uvag00240655,ch:1:sloid:8058::1,1,#1,120.00,32.00,20210301,,20220508,ch14uvag00062090,2604715,1208647,529
ch14uvag00229532,ch:1:sloid:3184::50,,50,,,20220207,,20220508,ch14uvag00055439,2697056,1236252,542.6
ch14uvag00228679,ch:1:sloid:88503:1:3,,10,,,20020920,,20220508,ch14uvag00064838,2614695.286,1172875.614,605.4
ch14uvag00234111,ch:1:sloid:7562:1:2,,11,,,19930201,,20220508,ch14uvag00047839,2650770.994,1167397.833,1962.2
ch14uvag00227348,ch:1:sloid:90811::80,,80,,,20210720,,20220508,ch14uvag00061179,2684828,1238911,461.1
ch14uvag00247199,ch:1:sloid:87770:0:2,,2,,,20220301,,20220508,ch14uvag00050180,2676274,1215270,448
ch14uvag00247184,ch:1:sloid:87784:0:2,,2,,,20220301,,20220508,ch14uvag00055012,2669661,1227013,540
ch14uvag00247181,ch:1:sloid:87515:0:2,,2,,,20220301,,20220508,ch14uvag00060724,2678668,1227279,418
ch14uvag00230743,ch:1:sloid:88942:1:2,,2,,,20200703,,20220508,ch14uvag00040043,2613469.412,1266483.354,269.8
ch14uvag00247188,ch:1:sloid:77127:0:1,,1,,,20220301,,20220508,ch14uvag00059564,2672576,1227104,412
ch14uvag00247189,ch:1:sloid:77127:0:2,,2,,,20220301,,20220508,ch14uvag00059564,2672523,1227026,412
ch14uvag00238508,ch:1:sloid:89681::1,,1,,,20210201,,20220508,ch14uvag00048923,2666305.48504,1208141.14179,442.3
ch14uvag00236291,ch:1:sloid:76223::91,,91,,,20210720,,20220508,ch14uvag00050139,2686301,1241607,414.9
ch14uvag00241519,ch:1:sloid:92486:0:01,,1,,,20210401,,20220508,ch14uvag00056299,2585382,1218438,439.6
ch14uvag00233262,ch:1:sloid:63:1:2,,2,,,20200703,,20220508,ch14uvag00055333,2609027.423,1262625.341,296.5
ch14uvag00233900,ch:1:sloid:76581:1:2,,12,,,20000528,,20220508,ch14uvag00060606,2614885.971,1180490.282,585
ch14uvag00225726,ch:1:sloid:90665::50,,50,,,20220207,,20220508,ch14uvag00048892,2686244,1234953,620.3
ch14uvag00240981,ch:1:sloid:93379:0:01,,1,,,20210401,,20220508,ch14uvag00041135,2585069,1221439,522.2
ch14uvag00225611,ch:1:sloid:95264::50,,50,,,20220207,,20220508,ch14uvag00049598,2703907,1243665,567.3
ch14uvag00234670,ch:1:sloid:78153:1:2,,2,,,20200703,,20220508,ch14uvag00041197,2609448.409,1265411.335,325.2
ch14uvag00234714,ch:1:sloid:79021:0:1,,1,,,20200703,,20220508,ch14uvag00054314,2609462,1191580,542
ch14uvag00226113,ch:1:sloid:71461:0:1,,1,,,20190101,,20220508,ch14uvag00042428,2592422.379,1217010.48,450.929
ch14uvag00243031,ch:1:sloid:78860::113801,,1,,,20211212,,20220508,ch14uvag00043570,2715064,1145960,559.4
ch14uvag00243039,ch:1:sloid:88133::112902,,2,,,20211212,,20220508,ch14uvag00043754,2715462,1145080,506.5
ch14uvag00238907,ch:1:sloid:94431::1,,1,,,20210201,,20220508,ch14uvag00043362,2757660.53098,1191738.79381,560.5
ch14uvag00238923,ch:1:sloid:89691::2,,2,,,20210201,,20220508,ch14uvag00048933,2665712.41272,1207541.50846,453.3
ch14uvag00239262,ch:1:sloid:74975::3,,3,,,20210201,,20220508,ch14uvag00058235,2786603.50583,1156341.9211,1707.6
ch14uvag00228261,ch:1:sloid:76745:1:1,,10,,,19930201,,20220508,ch14uvag00059513,2621196.701,1173857.057,769.8
ch14uvag00237025,ch:1:sloid:89706::1,,1,,,20210201,,20220508,ch14uvag00050015,2663729.61384,1210277.15839,589.2
ch14uvag00237029,ch:1:sloid:30359:0:191859,,1,,,20210211,,20220508,ch14uvag00050001,2663698,1209920,499.7
ch14uvag00231272,ch:1:sloid:92850:0:702743,,lyon00,62.00,23.00,20200106,,20220508,ch14uvag00046832,2499671.494,1118421.159,393.2
ch14uvag00231314,ch:1:sloid:92779:0:268432,,athe00,20.00,23.00,20200106,,20220508,ch14uvag00046759,2500425.504,1117129.188,391.2
ch14uvag00242768,ch:1:sloid:87745::312401,,1,,,20211212,,20220508,ch14uvag00039518,2700825,1118550,288.3
ch14uvag00244815,ch:1:sloid:9612:0:01,1,1,,,20211212,,20220508,ch14uvag00223690,2756372,1230889,441
ch14uvag00242729,ch:1:sloid:87016::306001,,1,,,20211212,,20220508,ch14uvag00055656,2705244,1114932,354.6
ch14uvag00232589,ch:1:sloid:90840::80,,80,,,20210720,,20220508,ch14uvag00062047,2674348,1249851,397.7
ch14uvag00233661,ch:1:sloid:78151:1:2,,2,,,20200703,,20220508,ch14uvag00041198,2609641.402,1264897.333,313.6
ch14uvag00237083,ch:1:sloid:30680:0:7555,,1,,,20210211,,20220508,ch14uvag00049745,2639943,1159568,2074.8
ch14uvag00231191,ch:1:sloid:92647:0:271478,,nant00,15.00,15.00,20200106,,20220508,ch14uvag00040357,2498968.437,1122528.216,413.5
ch14uvag00230978,ch:1:sloid:93071:0:829745,,velo01,12.00,15.00,20200106,,20220508,ch14uvag00056137,2497838.372,1113746.185,405
ch14uvag00230981,ch:1:sloid:93063:0:80534,,nama00,20.00,12.00,20200106,,20220508,ch14uvag00056128,2498347.406,1113526.197,413.1
ch14uvag00230982,ch:1:sloid:93063:0:100957,,nama01,20.00,14.00,20200106,,20220508,ch14uvag00056128,2498368.407,1113553.198,411.9
ch14uvag00245036,ch:1:sloid:8084:0:714625,4,41/42,,,20211213,20220709,20220508,ch14uvag00049709,2610810.70444,1214667.50361,509.3
ch14uvag00249359,ch:1:sloid:88115:0:02,,106102,5.40,16.00,20220329,,20220508,ch14uvag00060696,2689095.67651,1211579.69302,472.6
ch14uvag00248110,ch:1:sloid:89577:0:760043,,8957702,15.00,16.00,20220301,,20220508,ch14uvag00060021,2746897,1256131,708
ch14uvag00248109,ch:1:sloid:89577:0:35122,,8957701,12.00,16.00,20220301,,20220508,ch14uvag00060021,2746901,1256121,710
ch14uvag00239182,ch:1:sloid:81577::1,,1,,,20210201,,20220508,ch14uvag00053877,2791718.9965,1148829.97755,1878.1
ch14uvag00231102,ch:1:sloid:93175:0:471977,,veec00,25.00,17.00,20200106,,20220508,ch14uvag00062457,2495579.299,1119267.158,439.4
ch14uvag00231113,ch:1:sloid:93169:0:537414,,vegr00,,,20200106,,20220508,ch14uvag00062494,2496366.263,1119523.191,419.3
ch14uvag00231119,ch:1:sloid:7713:0:4,,4,,,20200703,,20220508,ch14uvag00046979,2609246.598,1187018.572,547
ch14uvag00228068,ch:1:sloid:17411:1:1,,1,,,20200703,,20220508,ch14uvag00054105,2616366.004,1263791.754,285
ch14uvag00230987,ch:1:sloid:95037:0:733237,,pjar03,,,20200106,,20220508,ch14uvag00056130,2498728.42,1113259.204,422.4
ch14uvag00236019,ch:1:sloid:87684::81,,81,,,20210720,,20220508,ch14uvag00052620,2695734,1233883,411.7
ch14uvag00227461,ch:1:sloid:76282::81,,81,,,20210720,,20220508,ch14uvag00044333,2676597,1258861,455.8
ch14uvag00227364,ch:1:sloid:90464::82,,82,,,20210720,,20220508,ch14uvag00038550,2682180,1240681,449.3
ch14uvag00228174,ch:1:sloid:76568:1:3,,10,,,20000528,,20220508,ch14uvag00048398,2619371.182,1184674.956,916.6
ch14uvag00228170,ch:1:sloid:88068:1:2,,2,,,20200703,,20220508,ch14uvag00058978,2617063.404,1264641.34,268.8
ch14uvag00243659,ch:1:sloid:94309:0:02,,2,,,20200507,,20220508,ch14uvag00064394,2669766.965,1255272.979,410.7
ch14uvag00240816,ch:1:sloid:93322:0:01,,1,,,20210401,,20220508,ch14uvag00041041,2585804,1221197,434.9
ch14uvag00243800,ch:1:sloid:90240:0:01,,1,,,20200507,,20220508,ch14uvag00049681,2668639.948,1254079.979,410.5
ch14uvag00242403,ch:1:sloid:4486:0:656017,1,1,217.73,55.00,20210817,,20220508,ch14uvag00048087,2584466.60085,1199016.02807,494.4
ch14uvag00230115,ch:1:sloid:73675::10,,10,,,20220207,,20220508,ch14uvag00064057,2693952,1263262,412
ch14uvag00234300,ch:1:sloid:73205::68,Q,68,,,20220207,,20220508,ch14uvag00064892,2684862,1256031,429.2
ch14uvag00230859,ch:1:sloid:147:1:2,E,2,,,20200703,,20220508,ch14uvag00039981,2612002.906,1265705.279,281.2
ch14uvag00232284,ch:1:sloid:90239:1:82,D,82,,,20201224,20221210,20220508,ch14uvag00049680,2669112.05494,1253948.9565,394
ch14uvag00231802,ch:1:sloid:87076:0:679762,,luly00,16.00,22.00,20200106,,20220508,ch14uvag00052286,2494332.292,1113295.129,411.2
ch14uvag00234329,ch:1:sloid:89542:0:9,D,9,,,20190101,,20220508,ch14uvag00064344,2601399.983,1203161.644,519.955
ch14uvag00229714,ch:1:sloid:93125:0:130,,pdri00,15.00,15.00,20200106,,20220508,ch14uvag00061590,2500416.478,1113259.229,423.7
ch14uvag00227822,ch:1:sloid:84:90:4,,4,,,20200703,,20220508,ch14uvag00049007,2625077.234,1252983.746,421.2
ch14uvag00235793,ch:1:sloid:3668:0:,1,1,,,20201213,,20220508,ch14uvag00049232,2701346,1230541,408
ch14uvag00238288,ch:1:sloid:31411:0:444087,,1,,,20210211,,20220508,ch14uvag00220734,2582983,1107922,2342.8
ch14uvag00241315,ch:1:sloid:6358:0:2,,232,,,20210401,,20220508,ch14uvag00059889,2746438.19992,1254460.27538,667.6
